source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status,l2_candidate_notice_id,l2_s_text,l2_s_cpv,l2_s_time,l2_s_buyer,l2_composite_score,l2_top1_top2_margin,l2_buyer_match_mechanism,l2_confidence_tier
21-88219,False,True,,25-123316,,0.3744317457563245,,0.020311027610609322,,POTENTIAL,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-123316,0.07523643772190583,0.1,0.9123959702146298,0.9,0.3744317457563245,0.020311027610609322,SAME_SIREN_RECONCILIATION,POTENTIAL
21-76512,False,True,,25-140719,,0.3506173549224574,,0.09521027711176633,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-140719,0.24136089267000838,0.0,0.7645641699518178,0.75,0.3506173549224574,0.09521027711176633,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-76925,False,True,,25-95477,,0.443604034834522,,0.021451420241674346,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-95477,0.628600227178792,0.1,0.4743758212877792,0.75,0.443604034834522,0.021451420241674346,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-91773,False,True,,25-76461,,0.3522623740692072,,0.15068331143232588,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-76461,0.0,0.1,0.9890494962768287,0.75,0.3522623740692072,0.15068331143232588,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-95316,False,True,,22-17628,,0.33385781711987095,,0.033035232877352105,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,22-17628,0.04127701205765011,0.1,0.8576434515987735,0.75,0.33385781711987095,0.033035232877352105,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-96695,False,True,,25-111133,,0.3829611758034928,,0.18333659738341238,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-111133,0.08379996791111202,0.1,0.9945247481384144,0.75,0.3829611758034928,0.18333659738341238,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-89559,False,True,,24-81981,,0.34753581955903334,,0.08075996495838811,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,24-81981,0.025604500410829262,0.1,0.9342969776609724,0.75,0.34753581955903334,0.08075996495838811,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-104870,False,True,,26-11967,,0.5314061419814822,,0.14706775806112787,,HIGH,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,26-11967,0.022157840114790984,1.0,0.5346035917652212,0.9,0.5314061419814822,0.14706775806112787,SAME_SIREN_RECONCILIATION,HIGH
21-103501,False,True,,25-73811,,0.32811968146594106,,0.0,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-73811,0.005327867826473251,0.1,0.8850197109067017,0.75,0.32811968146594106,0.0,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-117209,True,True,22-49221,22-30678,0.34056113951650985,0.3567919721230923,0.049112196388092,0.001230832606582466,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,CHANGED_CANDIDATE,22-30678,0.009030814538539217,0.1,0.9945247481384144,0.75,0.3567919721230923,0.001230832606582466,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-113953,False,True,,25-99444,,0.3665741872074349,,0.017752187224507943,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-99444,0.10737609585704763,0.1,0.8959702146298729,0.75,0.3665741872074349,0.017752187224507943,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-119536,False,True,,25-66012,,0.37402760298994103,,0.036611618729949,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-66012,0.3049871943258061,0.2,0.5291283399036355,0.75,0.37402760298994103,0.036611618729949,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-117615,False,True,,25-99444,,0.3829999427921918,,0.028702690947679188,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-99444,0.10737609585704763,0.1,0.9616732369689006,0.75,0.3829999427921918,0.028702690947679188,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-116891,True,True,26-28296,25-128548,0.3827312769382639,0.6916170385368254,0.007238388465338863,0.3088857615985615,POTENTIAL,HIGH,SAME_SIREN_RECONCILIATION,CHANGED_CANDIDATE,25-128548,0.3664873274257839,1.0,0.6933858957512046,0.9,0.6916170385368254,0.3088857615985615,SAME_SIREN_RECONCILIATION,HIGH
21-130956,False,True,,26-28296,,0.3383314697583842,,0.14955531412359094,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,26-28296,0.22222732677353232,0.1,0.6222076215505914,0.75,0.3383314697583842,0.14955531412359094,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-138241,False,True,,25-100736,,0.5252594589757613,,0.2612272496742427,,HIGH,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-100736,0.9754800636276368,0.1,0.25536574682435387,0.9,0.5252594589757613,0.2612272496742427,SAME_SIREN_RECONCILIATION,HIGH
