source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status
15-100455,True,True,16-57014,16-57014,0.34914932103589164,0.34914932103589164,0.013662467329233763,0.013662467329233763,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-114783,False,False,,,,,,,,,,UNLINKED_BOTH
15-111004,True,True,16-46830,16-46830,0.3436280937070041,0.3436280937070041,0.0679558869834066,0.026729511095034075,MEDIUM,POTENTIAL,EXACT_SIRET_RECONCILIATION,SAME_LINK
15-111481,True,True,16-7640,16-7640,0.7989027167125944,0.8139027167125945,0.387568526006604,0.38756852600660413,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-111661,False,False,,,,,,,,,,UNLINKED_BOTH
15-106427,False,False,,,,,,,,,,UNLINKED_BOTH
15-115988,False,False,,,,,,,,,,UNLINKED_BOTH
15-101283,True,True,16-102267,16-102267,0.6225897414419586,0.6225897414419586,0.6225897414419586,0.6225897414419586,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-105085,False,False,,,,,,,,,,UNLINKED_BOTH
15-113362,True,True,16-40500,16-40500,0.345392960320184,0.345392960320184,0.049487243449669926,0.049487243449669926,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-115991,False,False,,,,,,,,,,UNLINKED_BOTH
15-117072,False,False,,,,,,,,,,UNLINKED_BOTH
15-103304,False,False,,,,,,,,,,UNLINKED_BOTH
15-115319,False,False,,,,,,,,,,UNLINKED_BOTH
15-115336,False,False,,,,,,,,,,UNLINKED_BOTH
15-118979,True,True,15-189271,15-189271,0.5553059274473684,0.5703059274473683,0.20202216671138168,0.20202216671138157,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-119589,False,False,,,,,,,,,,UNLINKED_BOTH
15-122609,True,True,16-32105,16-32105,0.3592241484029093,0.3742241484029093,0.038559460511061794,0.038559460511061794,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-129133,False,False,,,,,,,,,,UNLINKED_BOTH
15-90876,False,False,,,,,,,,,,UNLINKED_BOTH
15-119639,False,False,,,,,,,,,,UNLINKED_BOTH
15-132610,False,False,,,,,,,,,,UNLINKED_BOTH
15-126174,False,False,,,,,,,,,,UNLINKED_BOTH
15-126308,True,True,16-10649,16-10649,0.44143460649160643,0.45643460649160644,0.44143460649160643,0.45643460649160644,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-121163,False,False,,,,,,,,,,UNLINKED_BOTH
15-126736,False,False,,,,,,,,,,UNLINKED_BOTH
15-133200,False,False,,,,,,,,,,UNLINKED_BOTH
15-134999,False,False,,,,,,,,,,UNLINKED_BOTH
15-133523,False,False,,,,,,,,,,UNLINKED_BOTH
15-139562,True,True,16-146809,16-146809,0.3924934496444621,0.3924934496444621,0.3924934496444621,0.3924934496444621,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-146024,False,False,,,,,,,,,,UNLINKED_BOTH
15-139179,True,True,16-68672,16-68672,0.3572494051691343,0.3722494051691343,0.04097105155291564,0.040971051552915694,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-142353,False,True,,16-73358,,0.44374412069356517,,0.1426943601127536,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-145893,False,False,,,,,,,,,,UNLINKED_BOTH
15-117292,False,False,,,,,,,,,,UNLINKED_BOTH
15-142860,False,False,,,,,,,,,,UNLINKED_BOTH
15-145608,False,False,,,,,,,,,,UNLINKED_BOTH
15-140619,False,False,,,,,,,,,,UNLINKED_BOTH
15-146824,True,True,16-9312,16-9312,0.35522920078416803,0.35522920078416803,0.35522920078416803,0.35522920078416803,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-91934,True,True,16-37530,16-37530,0.4183846742351536,0.4183846742351536,0.4183846742351536,0.4183846742351536,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-142165,False,False,,,,,,,,,,UNLINKED_BOTH
15-142958,False,False,,,,,,,,,,UNLINKED_BOTH
15-143035,False,False,,,,,,,,,,UNLINKED_BOTH
15-136371,False,False,,,,,,,,,,UNLINKED_BOTH
15-136102,True,True,15-155719,15-155719,0.825134570435174,0.8251345704351742,0.22102072912600157,0.2210207291260018,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-137458,True,True,15-155719,15-155719,0.6401567823859098,0.6401567823859098,0.6401567823859098,0.6401567823859098,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-139462,False,False,,,,,,,,,,UNLINKED_BOTH
15-143083,True,True,16-27767,16-27767,0.35948896393337226,0.35948896393337226,0.11901403772124719,0.11901403772124719,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-139094,True,True,16-131495,16-131495,0.38060675328061294,0.39560675328061295,0.38060675328061294,0.39560675328061295,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-137106,False,False,,,,,,,,,,UNLINKED_BOTH
15-140966,True,True,16-101519,16-101519,0.4112560153250095,0.4112560153250095,0.4112560153250095,0.4112560153250095,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-141902,False,False,,,,,,,,,,UNLINKED_BOTH
15-147732,True,True,16-78789,16-78789,0.3921100005465589,0.3921100005465589,0.0885511709593308,0.0885511709593308,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-148838,False,False,,,,,,,,,,UNLINKED_BOTH
15-134263,False,False,,,,,,,,,,UNLINKED_BOTH
15-141361,False,True,,16-124376,,0.383177646343102,,0.03544210099610723,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT
15-144405,False,False,,,,,,,,,,UNLINKED_BOTH
15-144617,False,False,,,,,,,,,,UNLINKED_BOTH
15-160806,False,False,,,,,,,,,,UNLINKED_BOTH
15-160539,True,True,16-57014,16-57014,0.3835546253335273,0.3835546253335273,0.012094204252004026,0.012094204252004026,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-153604,False,False,,,,,,,,,,UNLINKED_BOTH
15-164088,False,False,,,,,,,,,,UNLINKED_BOTH
15-157399,False,False,,,,,,,,,,UNLINKED_BOTH
15-159244,True,True,16-49246,16-49246,0.3919024006740638,0.3919024006740638,0.002331179126828564,0.002331179126828564,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-165845,False,False,,,,,,,,,,UNLINKED_BOTH
15-156775,False,False,,,,,,,,,,UNLINKED_BOTH
15-162447,True,True,16-49246,16-49246,0.4066816401657618,0.4066816401657618,0.02561737846108797,0.02561737846108797,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-165050,True,True,15-174987,15-174987,0.7270690225797338,0.7420690225797337,0.3537555224540879,0.3537555224540878,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-160513,True,True,16-61061,16-61061,0.3473741736428451,0.36237417364284513,0.053951037098996235,0.053951037098996235,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-164187,True,True,16-10778,16-10778,0.4997917898394153,0.5147917898394153,0.09331407744898151,0.09331407744898151,MEDIUM,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-153858,True,True,16-68672,16-68672,0.34852252678211626,0.3635225267821163,0.08369335464019773,0.08369335464019773,MEDIUM,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-154566,False,False,,,,,,,,,,UNLINKED_BOTH
15-155719,False,False,,,,,,,,,,UNLINKED_BOTH
15-160688,False,False,,,,,,,,,,UNLINKED_BOTH
15-159973,True,True,16-94711,16-94711,0.6339472406175941,0.648947240617594,0.09451663880351258,0.09451663880351235,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-153303,False,False,,,,,,,,,,UNLINKED_BOTH
15-162906,True,True,16-68875,16-68875,0.36536435512279425,0.36536435512279425,0.0751881736493416,0.0751881736493416,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-150393,False,False,,,,,,,,,,UNLINKED_BOTH
15-169863,False,False,,,,,,,,,,UNLINKED_BOTH
15-169941,False,False,,,,,,,,,,UNLINKED_BOTH
15-174358,True,True,16-70203,16-70203,0.5344676093880614,0.5494676093880614,0.029517426520042522,0.029517426520042522,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-178728,False,False,,,,,,,,,,UNLINKED_BOTH
15-171325,False,False,,,,,,,,,,UNLINKED_BOTH
15-170834,False,False,,,,,,,,,,UNLINKED_BOTH
15-169682,False,False,,,,,,,,,,UNLINKED_BOTH
15-171733,False,False,,,,,,,,,,UNLINKED_BOTH
15-167001,False,False,,,,,,,,,,UNLINKED_BOTH
15-175210,True,True,16-128161,16-128161,0.36755718908639273,0.36755718908639273,0.005232715356875195,0.005232715356875195,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-175690,False,False,,,,,,,,,,UNLINKED_BOTH
15-174987,True,True,16-70219,16-70219,0.37595805581140773,0.39095805581140775,0.005549345962640506,0.005549345962640562,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-170544,False,False,,,,,,,,,,UNLINKED_BOTH
15-178562,False,False,,,,,,,,,,UNLINKED_BOTH
15-166933,False,False,,,,,,,,,,UNLINKED_BOTH
15-173090,True,True,16-70203,16-70203,0.5344161510089467,0.5494161510089467,0.028020236018186262,0.028020236018186373,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-173700,True,True,16-17002,16-17002,0.7897725968976963,0.8047725968976962,0.5896010940734697,0.5896010940734696,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-178206,False,False,,,,,,,,,,UNLINKED_BOTH
15-171757,False,False,,,,,,,,,,UNLINKED_BOTH
15-178791,True,True,16-33632,16-33632,0.37724703565660994,0.3772470356566099,0.007065745191347617,0.007065745191347561,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-175415,True,True,16-73319,16-73319,0.5201918146556479,0.5201918146556479,0.11986516284176968,0.11986516284176968,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-168917,False,False,,,,,,,,,,UNLINKED_BOTH
