source_notice_id,m0_candidate_notice_id,m1_candidate_notice_id,profile_candidate_notice_id,m0_m1_status,m1_buyer_match_mechanism,profile_evidence_status,profile_conflict_flag
16-166758,,20-2441,20-2441,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-170680,20-118996,20-118996,20-118996,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-175021,,20-65753,20-65753,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-175178,18-31687,18-31687,18-31687,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-178183,,18-546,18-546,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-182034,21-38984,21-38984,21-38984,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-183156,21-88219,21-88219,21-88219,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,WEAK_SUPPORT,False
16-183461,17-155110,17-155110,17-155110,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-20762,20-65753,20-65753,20-65753,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,STRONG_SUPPORT,False
16-25268,19-34512,19-34512,19-34512,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-26598,20-25157,20-25157,20-25157,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-30963,20-70265,20-70265,20-70265,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-31513,16-128178,16-128178,16-128178,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-32344,20-125567,20-65753,20-65753,accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-32977,20-52846,20-52846,20-52846,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-33283,20-32203,20-32203,20-32203,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-33632,20-26585,20-26585,20-26585,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-35152,20-93634,20-93634,20-93634,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-37108,17-55087,17-55087,17-55087,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-38113,,21-27874,21-27874,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-40880,20-96600,20-96600,20-96600,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-42023,19-34598,19-39750,19-39750,accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-45870,19-127477,19-127477,19-127477,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-46830,,19-106149,19-106149,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-47620,20-58079,20-58079,20-58079,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-48016,19-80203,19-80203,19-80203,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-49246,16-137769,16-137769,16-137769,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-49315,16-153372,16-153372,16-153372,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NO_PROFILE_EVIDENCE,False
16-54197,20-49949,20-49949,20-49949,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
