variant,n,events,censoring_rate,median_survival_months,survival_at_12m,survival_at_24m,rmst_60m,cpv_division
window_12m__cpv,13,6,0.5384615384615384,inf,0.9230769230769231,0.5384615384615384,39.28737491155362,92.0
window_12m__cpv,682,232,0.6598240469208212,inf,0.6605462799421338,0.6401021986613528,40.284636061216176,
window_18m,3159,834,0.7359924026590694,inf,0.9102781800125492,0.8899172019456192,51.36121775326009,
window_18m__cpv,203,41,0.7980295566502463,inf,0.990049751243781,0.9186410667685982,52.48594967558379,30.0
window_18m__cpv,370,70,0.8108108108108107,inf,1.0,0.9942441860465117,55.55048833884525,32.0
window_18m__cpv,157,34,0.7834394904458599,inf,1.0,1.0,56.96269219828992,35.0
window_18m__cpv,13,1,0.9230769230769231,inf,0.9230769230769231,0.9230769230769231,55.45284544627514,38.0
window_18m__cpv,19,3,0.8421052631578947,inf,0.8784313725490193,0.8784313725490193,51.06643239525668,42.0
window_18m__cpv,87,31,0.6436781609195402,inf,0.7791643991490623,0.6353502399579248,41.15488284956866,45.0
window_18m__cpv,466,100,0.7854077253218884,inf,0.9978354978354981,0.9978354978354981,56.78545228857934,48.0
window_18m__cpv,50,7,0.86,inf,1.0,1.0,57.10379137228114,50.0
window_18m__cpv,56,8,0.8571428571428572,inf,1.0,1.0,57.53539551480608,71.0
window_18m__cpv,889,246,0.7232845894263218,inf,0.994297092293817,0.98956510211044,55.513192054725295,72.0
window_18m__cpv,59,15,0.7457627118644068,inf,1.0,0.982142857142857,55.32949780249328,79.0
window_18m__cpv,19,3,0.8421052631578947,inf,0.8947368421052634,0.8308270676691734,51.216049321727475,80.0
window_18m__cpv,13,8,0.3846153846153846,20.006570302233904,0.8461538461538463,0.4615384615384615,31.49398564641666,92.0
window_18m__cpv,682,245,0.6407624633431085,inf,0.6439149473605948,0.6199139713101884,39.19386868081626,
