stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
dept_primary,91,siret_or_siren_missing,name_fallback,0.6666666666666666,15
dept_primary,92,siret_or_siren_missing,name_fallback,0.6341463414634146,41
dept_primary,93,siret_or_siren_missing,name_fallback,0.7352941176470589,34
dept_primary,94,siret_or_siren_missing,name_fallback,0.6666666666666666,42
dept_primary,95,siret_or_siren_missing,name_fallback,0.7142857142857143,7
dept_primary,971,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,972,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,973,siret_or_siren_missing,name_fallback,0.3333333333333333,3
dept_primary,974,siret_or_siren_missing,name_fallback,1.0,4
dept_primary,976,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,986,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,987,siret_or_siren_missing,name_fallback,0.0,1
dept_primary,988,siret_or_siren_missing,name_fallback,0.75,4
dept_primary,99,siret_or_siren_missing,name_fallback,1.0,1
dept_primary,1,siret_or_siren_missing,cpv_missing_or_generic,0.0,23
dept_primary,10,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
dept_primary,11,siret_or_siren_missing,cpv_missing_or_generic,0.6666666666666666,3
dept_primary,12,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
dept_primary,13,siret_or_siren_missing,cpv_missing_or_generic,0.13157894736842105,38
dept_primary,14,siret_or_siren_missing,cpv_missing_or_generic,0.32653061224489793,196
dept_primary,16,siret_or_siren_missing,cpv_missing_or_generic,0.4146341463414634,82
dept_primary,17,siret_or_siren_missing,cpv_missing_or_generic,0.3176895306859206,554
dept_primary,18,siret_or_siren_missing,cpv_missing_or_generic,0.20408163265306123,49
dept_primary,19,siret_or_siren_missing,cpv_missing_or_generic,0.10714285714285714,28
dept_primary,2,siret_or_siren_missing,cpv_missing_or_generic,0.6666666666666666,3
dept_primary,20A,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
dept_primary,21,siret_or_siren_missing,cpv_missing_or_generic,0.1111111111111111,9
dept_primary,22,siret_or_siren_missing,cpv_missing_or_generic,0.24066390041493776,482
dept_primary,23,siret_or_siren_missing,cpv_missing_or_generic,0.0,2
dept_primary,24,siret_or_siren_missing,cpv_missing_or_generic,0.6,5
dept_primary,26,siret_or_siren_missing,cpv_missing_or_generic,0.3333333333333333,3
dept_primary,27,siret_or_siren_missing,cpv_missing_or_generic,0.35,20
dept_primary,28,siret_or_siren_missing,cpv_missing_or_generic,0.39037433155080214,187
dept_primary,29,siret_or_siren_missing,cpv_missing_or_generic,0.2957486136783734,541
dept_primary,3,siret_or_siren_missing,cpv_missing_or_generic,0.0,4
dept_primary,31,siret_or_siren_missing,cpv_missing_or_generic,0.25,28
dept_primary,33,siret_or_siren_missing,cpv_missing_or_generic,0.26666666666666666,75
dept_primary,34,siret_or_siren_missing,cpv_missing_or_generic,0.13333333333333333,15
dept_primary,35,siret_or_siren_missing,cpv_missing_or_generic,0.21714031971580816,2252
dept_primary,36,siret_or_siren_missing,cpv_missing_or_generic,0.375,40
dept_primary,37,siret_or_siren_missing,cpv_missing_or_generic,0.28227571115973743,457
dept_primary,38,siret_or_siren_missing,cpv_missing_or_generic,0.09090909090909091,11
dept_primary,4,siret_or_siren_missing,cpv_missing_or_generic,0.0,2
dept_primary,40,siret_or_siren_missing,cpv_missing_or_generic,0.14285714285714285,7
dept_primary,41,siret_or_siren_missing,cpv_missing_or_generic,0.35294117647058826,85
dept_primary,42,siret_or_siren_missing,cpv_missing_or_generic,0.0,2
dept_primary,43,siret_or_siren_missing,cpv_missing_or_generic,0.0,1
