source_notice_id,candidate_notice_id,candidate_rank,n_candidates_for_source,top1_top2_margin,composite_score,s_text,s_cpv,s_time,s_buyer,gap_months,abs_gap_to_expected_end,gradient_boosting_score,logistic_score
15-33241,16-7640,1,6,0.0600687585193728,0.3238004721405483,0.0433408145884135,0.0,0.9945247481384144,0.6,10.4796320630749,0.0328515111695138,0.0006889864675943461,0.19664367300569202
15-33752,16-61484,1,9,0.0080899794907591,0.3833383195501142,0.128060050726376,0.2,0.8740692071835304,0.6,13.863337713534822,0.7555847568988173,0.008180774664448954,0.9402706228396818
15-34520,15-117072,1,4,0.0558807609008352,0.3504761237733987,0.2055966342214746,0.0,0.8740692071835304,0.6,4.763469119579501,0.7555847568988173,0.03359642413035196,0.6745717801780228
15-35224,15-48967,1,1,0.212729793014818,0.212729793014818,0.1092636473973212,0.0,0.4579500657030223,0.6,0.7555847568988173,3.252299605781866,0.00047503158430257556,0.014510028506143849
15-39187,15-56571,1,1,0.4272689260080278,0.4272689260080278,0.8555283875556319,0.1,0.1513359614542269,0.6,0.9526938239159,5.091984231274639,0.08572959885874461,0.40900343360169245
15-42765,15-167650,1,5,0.1269508318350036,0.4024101827284119,0.3503941520167254,0.1,0.7590889180902322,0.6,7.490144546649145,1.445466491458607,0.04092257289292421,0.8018653010776688
15-43149,15-139094,1,2,0.0921893825215059,0.2681683109664657,0.158154375741745,0.0,0.61125711782742,0.6,5.716162943495401,2.33245729303548,0.012367388235755339,0.2556929993412587
15-44894,15-126736,1,1,0.4293663480418526,0.4293663480418526,0.4195899788242906,0.1,0.7700394218134035,0.6,4.664914586070959,1.3797634691195797,0.38495125637532396,0.7866792230292622
15-45169,15-159973,1,2,0.0359660191553711,0.3650598018619223,0.4154327359373862,0.0,0.6386333771353483,0.6,7.063074901445466,2.1681997371879107,0.0018640695544289753,0.2593630251570582
15-46309,15-187883,1,4,0.0513886220617559,0.4698236291286419,0.2374098558296597,0.2,0.9069207183530442,1.0,8.705650459921156,0.5584756898817346,0.016228385313403298,0.6758941675838456
15-47591,15-115991,1,5,0.0815722725006785,0.3228706794535785,0.0367733698673671,0.0,1.0,0.6,4.007884362680684,0.0,0.0023400699687590393,0.0475761999173662
15-47696,15-52664,1,4,0.4389228745889888,0.7066228536529195,0.8461860645636888,1.0,0.0418309242225142,1.0,0.2956636005256242,5.7490144546649145,0.5339830857794784,0.9951448390967572
15-48624,16-49315,1,1,0.3611643339766729,0.3611643339766729,0.0800239965818713,0.1,0.9726237406920718,0.6,12.187910643889618,0.164257555847569,0.32031270921014066,0.9657754036981512
15-49442,15-91934,1,2,0.2170770397174911,0.3753786677900569,0.1441017440269069,0.1,0.939772229522558,0.6,5.650459921156373,0.3613666228646517,0.13150425292982568,0.8096502254609839
15-50024,15-159973,1,3,0.1238661704301729,0.4245860326558655,0.4564481728969914,0.0,0.8193166885676741,0.6,6.044678055190539,1.0840998685939554,0.0011935351291464428,0.14842113203731178
15-50314,15-98976,1,4,0.0194246359945959,0.2209744649263305,0.1171762761113978,0.0,0.4798510731493649,0.6,2.890932982917214,3.1208935611038107,0.0015438399114462336,0.3876094515460491
15-50732,15-169809,1,12,0.0253367294331079,0.3120849481447403,0.0688566880851539,0.1,0.791940429259746,0.6,7.260183968462549,1.2483574244415243,0.0151769971832178,0.5242694103953215
15-51820,15-89415,1,2,0.0186586230512329,0.2716934358124093,0.1134736424000129,0.0,0.687910643889619,0.6,2.135348226018397,1.8725361366622864,0.0013437759961783561,0.1684036314043897
15-52664,15-185335,1,3,0.0355548689312855,0.2782079003911252,0.0412660491745682,0.0,0.6550591327201052,1.0,8.081471747700395,2.0696452036793693,0.028619337773882404,0.515317231401261
15-53947,15-164088,1,5,0.0084953954573356,0.3976568101063978,0.1494155528100949,0.2,0.9014454664914586,0.6,6.603153745072273,0.5913272010512484,0.07345417924657963,0.7483860288418706
15-54892,15-139094,1,2,0.0738869095021954,0.2667614511324277,0.154134776215922,0.0,0.61125711782742,0.6,5.026281208935611,2.33245729303548,0.010589143415025445,0.23094886869930287
15-55407,16-57014,1,23,0.0563547784783249,0.3930996601933959,0.2455747753225991,0.1,0.8685939553219448,0.6,12.02365308804205,0.7884362680683311,0.011972924992549386,0.583766752763337
