source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source
20-135543,21-143328,2020-11-04,2021-10-25,NAME:departement de la vendee,NAME_FALLBACK,11.662286465177395,2021-09-12,1.4126149802890933,0.7645641699518178,0.0087144312748617,0.8,0.6,0.494191093434156,0.8652454939523634,0.8652454939523634,1,0.0013688129653964,3,POTENTIAL,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-13755,20-25157,2020-01-28,2020-02-18,NAME:departement de la sarthe,NAME_FALLBACK,0.6898817345597897,2020-07-28,5.289093298291721,0.1184844502847131,0.2276357280070611,1.0,0.6,0.4692936173736496,0.734315271064204,0.734315271064204,2,0.2456888618203932,4,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-142015,21-116891,2020-11-21,2021-09-01,SIRET:23440003400026,RAW_SIRET,9.32982917214192,2021-05-21,3.383705650459921,0.4360490582566798,0.6630948905529075,1.0,1.0,0.7410954762576875,0.3049479075682298,0.3049479075682298,1,0.4178885905720972,4,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-149342,20-158264,2020-12-08,2020-12-28,NAME:museum national d histoire naturelle,NAME_FALLBACK,0.657030223390276,2021-06-08,5.321944809461235,0.1130091984231275,0.9999999999999992,1.0,0.6,0.7382522996057816,0.8390000090442725,0.8390000090442725,1,0.7382522996057816,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-15455,20-25157,2020-01-31,2020-02-18,NAME:departement de la sarthe,NAME_FALLBACK,0.5913272010512484,2020-07-31,5.387647831800263,0.1020586946999562,0.2276357280070611,1.0,0.6,0.4651871784774604,0.700430200985445,0.700430200985445,1,0.0465050982969431,2,POTENTIAL,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-16042,20-25157,2020-01-31,2020-02-18,NAME:departement de la sarthe,NAME_FALLBACK,0.5913272010512484,2020-07-31,5.387647831800263,0.1020586946999562,1.0,1.0,0.6,0.7355146736749889,0.7221509946633182,0.7221509946633182,1,0.2831811949488396,2,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-19624,20-118393,2020-02-07,2020-09-28,NAME:sdis de la sarthe,NAME_FALLBACK,7.687253613666228,2020-12-11,2.431011826544021,0.5948313622426631,0.2376093620885176,0.1,0.6,0.3218711172916469,0.26537564918200307,0.26537564918200307,1,0.3218711172916469,1,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-19626,20-118393,2020-02-07,2020-09-28,NAME:sdis de la sarthe,NAME_FALLBACK,7.687253613666228,2020-12-11,2.431011826544021,0.5948313622426631,0.3671873430321322,0.1,0.6,0.367223410621912,0.3333544331908967,0.3333544331908967,1,0.367223410621912,1,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-23104,21-11209,2020-02-15,2021-01-25,NAME:reseau canope,NAME_FALLBACK,11.33377135348226,2021-07-09,5.4204993429697765,0.0965834428383706,0.0267703044305752,0.2,0.6,0.1535154672602939,0.36961346068345874,0.36961346068345874,1,0.0046453862950076,2,POTENTIAL,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-25276,21-45579,2020-02-21,2021-04-08,NAME:nantes metropole,NAME_FALLBACK,13.534822601839684,2021-05-01,0.7555847568988173,0.8740692071835304,0.1286267010849301,1.0,0.6,0.6235366471756081,0.883963904183721,0.883963904183721,1,0.2854705872813358,19,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
