variant,algorithm,scenario,world,n_pairs,n_truth,n_reachable,blocking_recall,n_pred,tp,precision,recall_conditional,recall_end_to_end,threshold,f1_conditional,f1_end_to_end
dur_w18,logistic_regression,central_provisional,010,33859,1755,1225,0.698005698005698,1249,809,0.6477181745396317,0.6604081632653062,0.46096866096866096,0.20725495056129792,0.6540016168148747,0.5386151797603195
dur_w18,logistic_regression,difficult,007,28117,668,366,0.5479041916167665,1223,190,0.1553556827473426,0.5191256830601093,0.2844311377245509,0.20725495056129792,0.23914411579609818,0.20095187731359068
dur_w18,logistic_regression,difficult,008,47894,899,351,0.39043381535038935,1360,162,0.11911764705882352,0.46153846153846156,0.18020022246941045,0.20725495056129792,0.18936294564582115,0.14342629482071714
dur_w18,logistic_regression,difficult,009,76333,1151,459,0.3987836663770634,1981,198,0.09994952044422009,0.43137254901960786,0.17202432667245873,0.20725495056129792,0.1622950819672131,0.12643678160919541
dur_w18,logistic_regression,difficult,010,71026,1105,525,0.4751131221719457,1757,237,0.13488901536710302,0.4514285714285714,0.21447963800904976,0.20725495056129792,0.20771253286590707,0.16561844863731656
dur_w18,logistic_regression,easier,007,49484,2524,1840,0.7290015847860539,1870,1372,0.7336898395721925,0.7456521739130435,0.5435816164817749,0.20725495056129792,0.7396226415094339,0.6244879380974057
dur_w18,logistic_regression,easier,008,57075,3204,2134,0.6660424469413233,2322,1672,0.7200689061154177,0.7835051546391752,0.5218476903870163,0.20725495056129792,0.7504488330341114,0.6051393412956931
dur_w18,logistic_regression,easier,009,38504,2895,2206,0.7620034542314335,2405,1695,0.7047817047817048,0.7683590208522212,0.5854922279792746,0.20725495056129792,0.7351984385165908,0.6396226415094339
dur_w18,logistic_regression,easier,010,62268,3084,2321,0.7525940337224384,2427,1741,0.7173465183353935,0.7501077121930203,0.564526588845655,0.20725495056129792,0.7333614153327718,0.6318272545817456
dur_w18,logistic_regression,stress,007,157735,1154,297,0.25736568457538994,8537,97,0.011362305259458826,0.3265993265993266,0.08405545927209705,0.20725495056129792,0.02196060674666063,0.020018573934578475
dur_w18,logistic_regression,stress,008,113872,1006,283,0.2813121272365805,6084,95,0.015614727153188691,0.33568904593639576,0.09443339960238568,0.20725495056129792,0.029841369561803045,0.026798307475317345
dur_w18,logistic_regression,stress,009,106419,972,286,0.294238683127572,5967,105,0.017596782302664656,0.36713286713286714,0.10802469135802469,0.20725495056129792,0.03358387973772589,0.030263726761781237
dur_w18,logistic_regression,stress,010,86431,766,242,0.31592689295039167,4662,81,0.017374517374517374,0.3347107438016529,0.10574412532637076,0.20725495056129792,0.03303425774877651,0.02984524686809138
dur_w18,gradient_boosting,central_provisional,007,29696,1469,1036,0.7052416609938734,989,733,0.7411526794742164,0.7075289575289575,0.4989788972089857,0.31297400840638917,0.7239506172839505,0.596419853539463
dur_w18,gradient_boosting,central_provisional,008,33468,1712,1012,0.5911214953271028,1047,786,0.7507163323782235,0.7766798418972332,0.4591121495327103,0.31297400840638917,0.7634774162214668,0.5697716563972455
dur_w18,gradient_boosting,central_provisional,009,18507,1552,1068,0.6881443298969072,1093,807,0.7383348581884721,0.7556179775280899,0.5199742268041238,0.31297400840638917,0.7468764460897733,0.6102079395085067
dur_w18,gradient_boosting,central_provisional,010,33859,1755,1225,0.698005698005698,1202,901,0.7495840266222962,0.7355102040816327,0.5133903133903134,0.31297400840638917,0.7424804285125669,0.6094014203584714
dur_w18,gradient_boosting,difficult,007,28117,668,366,0.5479041916167665,345,198,0.5739130434782609,0.5409836065573771,0.2964071856287425,0.31297400840638917,0.5569620253164557,0.3909180651530109
