source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
17-35759,17-171316,RAW_SIRET,SIRET:23440003400026,2017-03-16,2017-12-07,8.73850197109067,2017-12-24,0.5584756898817346,0.9069207183530442,0.007212399468436101,0.4,1.0,0.4492545194022137,False,False,1,0.06548973622218746,7,MEDIUM,broad,0.27838673159124894
17-37863,17-39483,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-03-17,2017-03-21,0.1314060446780552,2017-09-17,5.913272010512483,0.014454664914586135,0.8472198942413518,0.1,0.6,0.3901406292131197,True,False,1,0.0826834668930786,5,MEDIUM,broad,0.27838673159124894
17-37945,17-39483,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-03-17,2017-03-21,0.1314060446780552,2017-09-17,5.913272010512483,0.014454664914586135,0.7763530960744156,0.1,0.6,0.365337249854692,True,False,1,0.05777699972344125,5,MEDIUM,broad,0.27838673159124894
17-39457,17-136551,NAME_FALLBACK,NAME:dir interdepartementale routes ouest,2017-03-23,2017-09-30,6.274638633377135,2017-09-23,0.22996057818659657,0.9616732369689006,0.8377922746823196,1.0,0.6,0.8936456053810371,False,False,1,0.8936456053810371,1,HIGH,broad,0.27838673159124894
17-39483,17-146735,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2017-03-21,2017-10-17,6.898817345597897,2017-09-21,0.8541392904073587,0.8576434515987735,0.02149287973543924,0.1,0.6,0.3119333708070971,True,False,1,0.040772488373980786,6,POTENTIAL,broad,0.27838673159124894
17-39998,18-38591,NAME_FALLBACK,NAME:commune de saint-nazaire,2017-03-27,2018-03-21,11.793692509855452,2018-01-06,2.431011826544021,0.5948313622426631,0.4232212910632577,0.2,0.6,0.416835292432806,False,True,1,0.04062355526008776,13,POTENTIAL,broad,0.27838673159124894
17-44607,18-31687,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-04-01,2018-03-08,11.202365308804204,2018-02-13,0.7555847568988173,0.8740692071835304,0.012690466865921658,0.2,0.6,0.3429589651989552,False,False,1,0.015580879022807692,13,POTENTIAL,broad,0.27838673159124894
17-48519,18-55179,NAME_FALLBACK,NAME:carene,2017-04-09,2018-04-27,12.582128777923783,2018-05-05,0.2628120893561104,0.9561979851073149,0.23565142762413374,0.0,0.6,0.3815274959452755,False,True,1,0.03316363031795505,3,POTENTIAL,broad,0.27838673159124894
17-48788,18-12119,NAME_FALLBACK,NAME:conseil regional des pays de la loire,2017-04-06,2018-01-28,9.756898817345597,2018-02-11,0.45992115637319314,0.9233464739378011,0.00836491511050347,0.2,0.6,0.35376433877312646,False,False,1,0.028503308593264443,13,POTENTIAL,broad,0.27838673159124894
17-50845,17-143219,NAME_FALLBACK,NAME:nantes metropole,2017-04-11,2017-10-11,6.011826544021025,2017-10-11,0.0,1.0,0.2669617399510149,0.1,0.6,0.43343660898285524,True,False,1,0.09443391029860637,29,MEDIUM,broad,0.27838673159124894
17-51157,17-111330,NAME_FALLBACK,NAME:nantes metropole,2017-04-18,2017-08-11,3.7779237844940865,2017-08-18,0.22996057818659657,0.9616732369689006,0.2777757682666859,0.0,0.6,0.3976398281355652,False,False,1,0.048462748694759805,24,POTENTIAL,broad,0.27838673159124894
17-53291,17-161600,NAME_FALLBACK,NAME:rectorat de l academie de nantes,2017-04-14,2017-11-15,7.063074901445466,2017-10-14,1.0512483574244416,0.8247919404292597,0.06067195798486015,0.1,0.6,0.31743317040201596,True,False,1,0.062403018737892835,3,MEDIUM,broad,0.27838673159124894
17-53475,18-26430,NAME_FALLBACK,NAME:gie sesam vitale,2017-04-18,2018-02-25,10.282522996057818,2018-07-07,4.336399474375821,0.27726675427069647,0.2610385491985865,0.2,0.6,0.2806801807871794,False,True,1,0.05161711136075747,3,MEDIUM,broad,0.27838673159124894
17-53540,17-77744,NAME_FALLBACK,NAME:nantes metropole,2017-05-05,2017-06-02,0.9198423127463863,2017-11-05,5.124835742444152,0.1458607095926413,0.9999999999999999,0.1,0.6,0.47646517739816024,True,False,1,0.1451121896874243,30,MEDIUM,broad,0.27838673159124894
