source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-71885,16-153330,2016-05-23,2016-10-26,NAME:nantes metropole,NAME_FALLBACK,5.124835742444152,2016-11-23,0.9198423127463863,0.8466929478756022,0.02478087632432599,0.1,0.6,0.31034654368241466,True,False,2,16,0.004256198870852934
16-71885,16-137769,2016-05-23,2016-09-21,NAME:nantes metropole,NAME_FALLBACK,3.9750328515111693,2016-11-23,2.0696452036793693,0.6550591327201052,0.023305380596862803,0.1,0.6,0.2619216663889283,True,False,3,16,0.004256198870852934
16-71885,16-135042,2016-05-23,2016-09-19,NAME:nantes metropole,NAME_FALLBACK,3.9093298291721417,2016-11-23,2.135348226018397,0.6441086289969338,0.02046224843095054,0.1,0.6,0.2581889442000661,True,False,4,16,0.004256198870852934
16-71885,17-13461,2016-05-23,2017-01-29,NAME:nantes metropole,NAME_FALLBACK,8.245729303547963,2016-11-23,2.2010512483574245,0.6331581252737626,0.0103697541233955,0.1,0.6,0.25191894526162906,True,False,5,16,0.004256198870852934
16-71885,16-128161,2016-05-23,2016-09-09,NAME:nantes metropole,NAME_FALLBACK,3.5808147174770038,2016-11-23,2.463863337713535,0.5893561103810776,0.024465832787151275,0.1,0.6,0.24590206907077233,True,False,6,16,0.004256198870852934
16-71885,16-128178,2016-05-23,2016-09-02,NAME:nantes metropole,NAME_FALLBACK,3.350854139290407,2016-11-23,2.6938239159001314,0.5510293473499781,0.033693415966446684,0.1,0.6,0.23955003242575085,True,False,7,16,0.004256198870852934
16-71885,16-102715,2016-05-23,2016-07-11,NAME:nantes metropole,NAME_FALLBACK,1.609724047306176,2016-11-23,4.434954007884363,0.2608409986859396,0.07274676744809946,0.1,0.6,0.1806716182783197,True,False,8,16,0.004256198870852934
16-71885,17-51157,2016-05-23,2017-04-18,NAME:nantes metropole,NAME_FALLBACK,10.840998685939553,2016-11-23,4.7963206307490145,0.20061322820849758,0.10601002135136414,0.1,0.6,0.17725681452510184,True,False,9,16,0.004256198870852934
16-71885,16-103833,2016-05-23,2016-07-13,NAME:nantes metropole,NAME_FALLBACK,1.6754270696452036,2016-11-23,4.369250985545335,0.27179150240911076,0.046495573838059065,0.1,0.6,0.17422132644559835,True,False,10,16,0.004256198870852934
16-71885,17-50845,2016-05-23,2017-04-11,NAME:nantes metropole,NAME_FALLBACK,10.611038107752956,2016-11-23,4.566360052562418,0.23893999123959697,0.009089379576798968,0.1,0.6,0.15291628066177887,True,False,11,16,0.004256198870852934
