source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,score_no_temporal,variant,threshold_used
15-126308,16-10649,2015-08-13,2016-01-25,NAME:sdis 44,NAME_FALLBACK,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4495185967466124,0.0,0.6,0.2897753451484192,False,False,1,1,0.4413240625187826,0.2897753451484192,no_temporal_score_reference_pool,0.187116725139698
15-132610,15-164088,2015-08-27,2015-10-28,NAME:commune de saint-herblain,NAME_FALLBACK,2.0367936925098555,2016-02-27,4.007884362680684,0.3320192728865527,0.2042457361343972,0.1,0.6,0.2153146768627187,True,False,1,3,0.0981415567992339,0.2153146768627187,no_temporal_score_reference_pool,0.187116725139698
15-136102,18-158087,2015-09-07,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.8040189212719042,False,False,1,3,0.4088007057648526,0.8040189212719042,no_temporal_score_reference_pool,0.187116725139698
15-137458,18-158087,2015-09-09,2018-11-15,NAME:sm megalis,NAME_FALLBACK,38.20630749014455,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6504712665630283,False,False,1,3,0.3059260407060882,0.6504712665630283,no_temporal_score_reference_pool,0.187116725139698
15-139094,20-72017,2015-09-10,2020-06-04,NAME:sdis 85,NAME_FALLBACK,56.80026281208935,2019-12-07,5.913272010512483,0.0144546649145861,0.3058411459430296,0.6,0.6,0.46272586810674715,False,False,1,3,0.0779774923971011,0.46272586810674715,no_temporal_score_reference_pool,0.187116725139698
15-139179,16-68672,2015-09-10,2016-05-12,NAME:ecole centrale de nantes,NAME_FALLBACK,8.04862023653088,2016-03-10,2.0696452036793693,0.6550591327201052,0.2979312114757571,0.1,0.6,0.25903456535535335,True,False,1,4,0.0407126195685054,0.25903456535535335,no_temporal_score_reference_pool,0.187116725139698
15-139462,19-146419,2015-09-11,2019-09-28,SIRET:22720002900014,RAW_SIRET,48.55453350854139,2019-12-29,3.0223390275952693,0.4962768287341218,0.2104402959182018,0.0,1.0,0.23153880476182753,False,False,1,1,0.2977233107549011,0.23153880476182753,no_temporal_score_reference_pool,0.187116725139698
15-140966,16-101519,2015-09-15,2016-07-07,NAME:commune de saint jean de monts,NAME_FALLBACK,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.4101046834439404,0.1,0.6,0.31138218560717223,True,False,1,1,0.4233088687279372,0.31138218560717223,no_temporal_score_reference_pool,0.187116725139698
15-141361,19-143955,2015-09-16,2019-09-24,SIRET:23440003400026,RAW_SIRET,48.25886990801577,2020-02-19,4.862023653088042,0.1896627244853262,0.4688203578989524,0.0,1.0,0.3521161670195112,False,False,1,9,0.0036739019674065,0.3521161670195112,no_temporal_score_reference_pool,0.187116725139698
15-142165,15-169682,2015-09-17,2015-11-06,NAME:chu d angers,NAME_FALLBACK,1.6425755584756898,2016-03-17,4.336399474375821,0.2772667542706964,0.2150210134616871,0.1,0.6,0.22034313961545401,True,False,1,1,0.2345740432792646,0.22034313961545401,no_temporal_score_reference_pool,0.187116725139698
