source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-160513,16-61061,NAME:departement de la sarthe,NAME_FALLBACK,2015-10-20,2016-04-29,6.307490144546649,2016-04-20,0.2956636005256242,0.9507227332457292,0.0560458054558889,0.1,0.6,0.3472967152209935,True,False,1,0.0537680795490891,8,broad,0.26420166983556403
15-160539,16-57014,NAME:nantes metropole,NAME_FALLBACK,2015-10-28,2016-04-20,5.7490144546649145,2016-04-28,0.2628120893561104,0.9561979851073148,0.1570925363428448,0.1,0.6,0.3840318839968244,True,False,1,0.0119701661884178,23,broad,0.26420166983556403
15-162447,16-49246,NAME:nantes metropole,NAME_FALLBACK,2015-10-23,2016-04-12,5.650459921156373,2016-04-23,0.3613666228646517,0.939772229522558,0.2343070468159477,0.1,0.6,0.4069505237662212,True,False,1,0.0264264537327992,22,broad,0.26420166983556403
15-162906,16-68875,NAME:centre hospitalier de cholet,NAME_FALLBACK,2015-10-23,2016-05-12,6.636005256241787,2016-04-23,0.6241787122207622,0.8959702146298729,0.1456907142819417,0.1,0.6,0.3649843036561478,True,False,1,0.0750031701209978,2,broad,0.26420166983556403
15-164088,19-185562,NAME:commune de saint-herblain,NAME_FALLBACK,2015-10-28,2019-12-12,49.47437582128778,2019-10-28,1.4783180026281209,0.7536136662286466,0.2458610099327487,0.0,0.6,0.3344547700336236,False,False,1,0.1319632045473316,2,broad,0.26420166983556403
15-164187,19-169855,NAME:gie sesam vitale,NAME_FALLBACK,2015-10-28,2019-11-12,48.48883048620236,2019-10-28,0.4927726675427069,0.9178712220762156,0.3561558634766728,0.2,0.6,0.4741223577358893,False,False,1,0.079524854983316,5,broad,0.26420166983556403
15-165050,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-10-29,2019-09-10,46.38633377135348,2019-10-29,1.609724047306176,0.731712658782304,0.8644788775438546,1.0,0.6,0.8454957718359251,False,False,1,0.4883112637770684,7,broad,0.26420166983556403
15-169809,19-165120,NAME:chu de nantes,NAME_FALLBACK,2015-11-09,2019-10-30,47.66754270696452,2019-11-09,0.328515111695138,0.9452474813841436,0.0432574106868056,0.0,0.6,0.3114519640864179,False,False,1,0.1135086186746262,5,broad,0.26420166983556403
15-170544,16-18733,NAME:ccrla,NAME_FALLBACK,2015-11-17,2016-02-08,2.726675427069645,2016-05-17,3.252299605781866,0.4579500657030223,0.3301450132574935,0.1,0.6,0.3200382710658783,True,False,1,0.3200382710658783,1,broad,0.26420166983556403
15-171733,16-85256,NAME:s i d energies de maine et loire,NAME_FALLBACK,2015-11-10,2016-06-09,6.964520367936925,2016-05-10,0.985545335085414,0.835742444152431,0.0432270010245083,0.1,0.6,0.3140650613966856,True,False,1,0.3140650613966856,1,broad,0.26420166983556403
15-173090,20-31844,NAME:universite de nantes,NAME_FALLBACK,2015-11-16,2020-03-04,51.57687253613666,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,False,False,1,0.0791476145585703,4,broad,0.26420166983556403
15-174358,20-31844,NAME:universite de nantes,NAME_FALLBACK,2015-11-17,2020-03-04,51.54402102496714,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.3807227332457293,False,False,1,0.0873636227994481,4,broad,0.26420166983556403
15-174987,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-11-18,2019-09-10,45.729303547963205,2019-11-18,2.266754270696452,0.6222076215505914,0.8404844620896664,1.0,0.6,0.8097214671190311,False,False,1,0.4525611799316918,8,broad,0.26420166983556403
15-175210,20-32203,NAME:nantes metropole,NAME_FALLBACK,2015-11-19,2020-03-06,51.54402102496714,2020-03-04,0.0657030223390276,0.9890494962768288,0.0156591733586001,0.2,0.6,0.3727430847447172,False,False,1,0.002660839773878,24,broad,0.26420166983556403
15-175415,16-73319,NAME:commune de saint-nazaire,NAME_FALLBACK,2015-11-20,2016-05-24,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536576,0.524444297632995,0.1,0.6,0.5180802523099626,True,False,1,0.1183824609405622,5,broad,0.26420166983556403
15-175690,20-6485,NAME:cnieg,NAME_FALLBACK,2015-11-20,2020-01-19,49.96714848883048,2020-03-09,1.6425755584756898,0.7262374069207184,0.1341538685231255,0.2,0.6,0.3485132057132735,False,False,1,0.0519471399288472,3,broad,0.26420166983556403
15-176598,16-35152,NAME:departement de la sarthe,NAME_FALLBACK,2015-11-23,2016-03-11,3.580814717477004,2016-05-23,2.3981603153745072,0.6003066141042488,0.7333573398843474,0.1,0.6,0.4967517224855837,True,False,1,0.1706984094719717,7,broad,0.26420166983556403
