source_notice_id,candidate_notice_id,sweep,severity,s_text,s_cpv,s_time,s_buyer,composite,is_arg_max,clears_balanced_threshold,recovered
16-102715,19-69736,combined,3,0.03271759919877679,0.2,0.6331581252737626,0.6,0.28974069103801253,False,False,False
16-103833,20-49949,text_only,0,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,text_only,1,0.46926041824746445,0.4,0.5948313622426631,0.6,0.49294898694727834,True,True,True
16-103833,20-49949,text_only,2,0.3690215335440944,0.4,0.5948313622426631,0.6,0.45786537730109883,True,True,True
16-103833,20-49949,text_only,3,0.17097298285419293,0.4,0.5948313622426631,0.6,0.3885483845596333,False,True,False
16-103833,20-49949,cpv_only,0,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,cpv_only,1,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,cpv_only,2,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,cpv_only,3,0.4458702210363696,0.2,0.5948313622426631,0.6,0.42476241792339514,False,True,False
16-103833,20-49949,duration_only,0,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,duration_only,1,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,duration_only,2,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,duration_only,3,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,combined,0,0.4458702210363696,0.4,0.5948313622426631,0.6,0.4847624179233951,True,True,True
16-103833,20-49949,combined,1,0.46926041824746445,0.4,0.5948313622426631,0.6,0.49294898694727834,True,True,True
16-103833,20-49949,combined,2,0.3690215335440944,0.4,0.5948313622426631,0.6,0.45786537730109883,True,True,True
16-103833,20-49949,combined,3,0.17097298285419293,0.2,0.5948313622426631,0.6,0.32854838455963326,False,True,False
16-106116,16-165866,text_only,0,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,text_only,1,0.6879935873969686,0.1,0.6824353920280333,0.6,0.5014066035959472,True,True,True
16-106116,16-165866,text_only,2,0.4722946482664241,0.1,0.6824353920280333,0.6,0.42591197490025673,True,True,True
16-106116,16-165866,text_only,3,0.3949873277167867,0.1,0.6824353920280333,0.6,0.39885441270788363,True,True,True
16-106116,16-165866,cpv_only,0,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,cpv_only,1,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,cpv_only,2,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,cpv_only,3,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,duration_only,0,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,duration_only,1,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,duration_only,2,0.7525816368728679,0.1,0.0,0.6,0.3534035729055038,True,True,True
16-106116,16-165866,duration_only,3,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,combined,0,0.7525816368728679,0.1,0.6824353920280333,0.6,0.5240124209125121,True,True,True
16-106116,16-165866,combined,1,0.6879935873969686,0.1,0.6824353920280333,0.6,0.5014066035959472,True,True,True
16-106116,16-165866,combined,2,0.4722946482664241,0.1,0.0,0.6,0.2553031268932484,True,False,False
16-106116,16-165866,combined,3,0.3949873277167867,0.1,0.6824353920280333,0.6,0.39885441270788363,True,True,True
16-109275,17-46886,text_only,0,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,text_only,1,0.7832075568850604,0.1,0.5948313622426631,0.6,0.5128304854704369,True,True,True
16-109275,17-46886,text_only,2,0.33404153458281705,0.1,0.5948313622426631,0.6,0.3556223776646517,False,True,False
16-109275,17-46886,text_only,3,0.015845050500102764,0.1,0.5948313622426631,0.6,0.24425360823570175,False,False,False
16-109275,17-46886,cpv_only,0,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,cpv_only,1,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,cpv_only,2,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,cpv_only,3,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,duration_only,0,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,duration_only,1,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,duration_only,2,0.6704804032736493,0.1,0.41414805081033734,0.6,0.4282051538483616,True,True,True
16-109275,17-46886,duration_only,3,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,combined,0,0.6704804032736493,0.1,0.5948313622426631,0.6,0.473375981706443,True,True,True
16-109275,17-46886,combined,1,0.7832075568850604,0.1,0.5948313622426631,0.6,0.5128304854704369,True,True,True
16-109275,17-46886,combined,2,0.33404153458281705,0.1,0.41414805081033734,0.6,0.31045154980657025,True,False,False
16-109275,17-46886,combined,3,0.015845050500102764,0.1,0.5948313622426631,0.6,0.24425360823570175,False,False,False
16-124376,21-35651,text_only,0,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,text_only,1,0.26915429468223145,0.4,0.5127025843188786,0.6,0.40237964921850067,True,True,True
16-124376,21-35651,text_only,2,0.029763332114593113,0.4,0.5127025843188786,0.6,0.3185928123198272,True,False,False
16-124376,21-35651,text_only,3,0.0,0.4,0.5127025843188786,0.6,0.30817564607971965,True,False,False
16-124376,21-35651,cpv_only,0,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,cpv_only,1,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,cpv_only,2,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,cpv_only,3,0.2744994737957506,0.2,0.5127025843188786,0.6,0.34425046190823233,False,True,False
16-124376,21-35651,duration_only,0,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,duration_only,1,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,duration_only,2,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,duration_only,3,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,combined,0,0.2744994737957506,0.4,0.5127025843188786,0.6,0.4042504619082324,True,True,True
16-124376,21-35651,combined,1,0.26915429468223145,0.4,0.5127025843188786,0.6,0.40237964921850067,True,True,True
16-124376,21-35651,combined,2,0.029763332114593113,0.4,0.5127025843188786,0.6,0.3185928123198272,True,False,False
16-124376,21-35651,combined,3,0.0,0.2,0.5127025843188786,0.6,0.24817564607971965,False,False,False
16-128161,21-7561,text_only,0,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,text_only,1,0.5758860269783443,1.0,0.28274200613228206,0.6,0.632245610975491,True,True,True
16-128161,21-7561,text_only,2,0.5247317290091381,1.0,0.28274200613228206,0.6,0.6143416066862688,True,True,True
16-128161,21-7561,text_only,3,0.42488732449896605,1.0,0.28274200613228206,0.6,0.5793960651077086,True,True,True
16-128161,21-7561,cpv_only,0,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,cpv_only,1,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,cpv_only,2,0.7318807754060992,0.6,0.28274200613228206,0.6,0.5668437729252052,True,True,True
16-128161,21-7561,cpv_only,3,0.7318807754060992,0.2,0.28274200613228206,0.6,0.4468437729252052,False,True,False
16-128161,21-7561,duration_only,0,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,duration_only,1,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,duration_only,2,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,duration_only,3,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,combined,0,0.7318807754060992,1.0,0.28274200613228206,0.6,0.6868437729252053,True,True,True
16-128161,21-7561,combined,1,0.5758860269783443,1.0,0.28274200613228206,0.6,0.632245610975491,True,True,True
16-128161,21-7561,combined,2,0.5247317290091381,0.6,0.28274200613228206,0.6,0.49434160668626886,True,True,True
16-128161,21-7561,combined,3,0.42488732449896605,0.2,0.28274200613228206,0.6,0.33939606510770864,False,True,False
16-128870,21-26465,text_only,0,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,text_only,1,0.2527813903947404,1.0,0.8631187034603591,0.6,0.6642531625032488,True,True,True
16-128870,21-26465,text_only,2,0.19097866735017938,1.0,0.8631187034603591,0.6,0.6426222094376526,True,True,True
16-128870,21-26465,text_only,3,0.28311110933273453,1.0,0.8631187034603591,0.6,0.6748685641315468,True,True,True
16-128870,21-26465,cpv_only,0,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,cpv_only,1,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,cpv_only,2,0.21255552535717426,0.6,0.8631187034603591,0.6,0.5301741097401007,True,True,True
16-128870,21-26465,cpv_only,3,0.21255552535717426,0.2,0.8631187034603591,0.6,0.41017410974010077,True,True,True
16-128870,21-26465,duration_only,0,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,duration_only,1,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,duration_only,2,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,duration_only,3,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,combined,0,0.21255552535717426,1.0,0.8631187034603591,0.6,0.6501741097401008,True,True,True
16-128870,21-26465,combined,1,0.2527813903947404,1.0,0.8631187034603591,0.6,0.6642531625032488,True,True,True
16-128870,21-26465,combined,2,0.19097866735017938,0.6,0.8631187034603591,0.6,0.5226222094376525,True,True,True
16-128870,21-26465,combined,3,0.28311110933273453,0.2,0.8631187034603591,0.6,0.43486856413154684,True,True,True
16-130215,20-155309,text_only,0,0.6544952866829982,1.0,0.5948313622426631,1.0,0.7777811908997151,True,True,True
16-130215,20-155309,text_only,1,0.8165957182990854,1.0,0.5948313622426631,1.0,0.8345163419653456,True,True,True
16-130215,20-155309,text_only,2,0.5294412828735785,1.0,0.5948313622426631,1.0,0.7340122895664182,True,True,True
16-130215,20-155309,text_only,3,0.4500493862300239,1.0,0.5948313622426631,1.0,0.7062251257411741,True,True,True
16-130215,20-155309,cpv_only,0,0.6544952866829982,1.0,0.5948313622426631,1.0,0.7777811908997151,True,True,True
16-130215,20-155309,cpv_only,1,0.6544952866829982,1.0,0.5948313622426631,1.0,0.7777811908997151,True,True,True
16-130215,20-155309,cpv_only,2,0.6544952866829982,0.6,0.5948313622426631,1.0,0.6577811908997151,True,True,True
16-130215,20-155309,cpv_only,3,0.6544952866829982,0.2,0.5948313622426631,1.0,0.5377811908997151,True,True,True
16-130215,20-155309,duration_only,0,0.6544952866829982,1.0,0.5948313622426631,1.0,0.7777811908997151,True,True,True
16-130215,20-155309,duration_only,1,0.6544952866829982,1.0,0.5948313622426631,1.0,0.7777811908997151,True,True,True
