notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
21-104443,2021-07-29,DIR REG ENVIR AMENAGEMENT LOGT BRETAGN,dir reg envir amenagement logt bretagn,NAME:dir reg envir amenagement logt bretagn,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,14;22;27;29;35;44;50;56;85
21-92363,2021-07-05,SOC PUBLIQUE REG ABE DE FONTEVRAUD,soc publique reg abe de fontevraud,NAME:soc publique reg abe de fontevraud,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-93803,2021-07-06,SEM CENOVIA,sem cenovia,NAME:sem cenovia,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,72
21-97876,2021-07-15,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-92788,2021-07-05,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-105103,2021-07-28,CC VENDEE GRAND LITTORAL,cc vendee grand littoral,NAME:cc vendee grand littoral,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-111863,2021-08-13,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-117127,2021-08-31,SCE DEPARTEMENTAL INCENDIE ET SECOURS,sce departemental incendie et secours,NAME:sce departemental incendie et secours,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,53
21-113571,2021-08-19,SDIS49,sdis49,NAME:sdis49,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44;49;53;72;85
20-7510,2021-08-06,CDC du Pays de Saint Gilles Cx de Vie,cdc du pays de saint gilles cx de vie,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-111036,2021-08-13,Ville de Bouguenais,ville de bouguenais,NAME:ville de bouguenais,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-114338,2021-08-24,CC DU PAYS DE ST FULGENT LES ESSARTS,cc du pays de st fulgent les essarts,NAME:cc du pays de st fulgent les essarts,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-117181,2021-08-31,SATT OUEST VALORISATION,satt ouest valorisation,NAME:satt ouest valorisation,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,29;35;44
21-121431,2021-09-30,Ville d'Angers,ville d angers,NAME:ville d angers,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-120100,2021-09-10,Ville de Larmor-plage,ville de larmor-plage,NAME:ville de larmor-plage,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,35;44;56
21-118513,2021-09-02,Communautédecommunesentrebeauceetperch,communautedecommunesentrebeauceetperch,NAME:communautedecommunesentrebeauceetperch,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,27;28;36;37;41;45;61;72;91
21-124267,2021-09-18,MEDDE / DGAC / SCN / SSIM,medde dgac scn ssim,NAME:medde dgac scn ssim,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,17;31;44;59;64;91
21-122032,2021-09-10,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-126092,2021-09-23,CA LES SABLES D OLONNE AGGLOMERATION,ca les sables d olonne agglomeration,NAME:ca les sables d olonne agglomeration,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-121452,2021-09-11,CC VENDEE GRAND LITTORAL,cc vendee grand littoral,NAME:cc vendee grand littoral,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-125688,2021-09-22,Vendée Expansion,vendee expansion,NAME:vendee expansion,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,85
21-125738,2021-09-20,COMMUNE DE SAINT NAZAIRE,commune de saint nazaire,NAME:commune de saint nazaire,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-123168,2021-09-14,Commune du Cellier,commune du cellier,NAME:commune du cellier,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
