notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-50278,NAME:cte de cnes ocean-marais de monts,NAME_FALLBACK,2015-04-02,2015-06-04,2015-12-04,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:cte de cnes ocean-marais de monts,NAME_FALLBACK,LOW,0,135.34822601839684,,,,,balanced
15-50732,NAME:chu de nantes,NAME_FALLBACK,2015-04-02,2015-04-02,2015-10-02,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.34822601839684,,,,,balanced
15-51571,NAME:residences saint alexandre,NAME_FALLBACK,2015-04-07,2015-04-07,2015-10-07,2026-07-13,48,48180,DIGITAL_ICT,True,6.0,True,NAME:residences saint alexandre,NAME_FALLBACK,LOW,0,135.18396846254927,,,,,balanced
15-55527,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,2015-04-14,2015-04-14,2015-10-14,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,NAME:cdc du pays de saint gilles cx de vie,NAME_FALLBACK,LOW,0,134.95400788436268,,,,,balanced
15-56776,NAME:ville d angers,NAME_FALLBACK,2015-04-15,2015-04-15,2015-08-15,2026-07-13,32,32342,DIGITAL_ICT,True,4.0,True,NAME:ville d angers,NAME_FALLBACK,LOW,0,134.92115637319316,,,,,balanced
15-55114,NAME:institution amenagement de la vilaine,NAME_FALLBACK,2015-04-10,2015-04-10,2015-10-10,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:institution amenagement de la vilaine,NAME_FALLBACK,LOW,0,135.08541392904073,,,,,balanced
15-51820,NAME:ch le mans,NAME_FALLBACK,2015-04-07,2015-04-07,2015-08-07,2026-07-13,30,30231,DIGITAL_ICT,True,4.0,True,SIREN:267200160,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.18396846254927,,,,,balanced
15-55973,NAME:esid de rennes,NAME_FALLBACK,2015-04-13,2015-04-13,2016-04-13,2026-07-13,45,45000,DIGITAL_ICT,True,12.0,True,NAME:esid de rennes,NAME_FALLBACK,LOW,0,134.9868593955322,,,,,balanced
15-58213,NAME:ville d orvault,NAME_FALLBACK,2015-04-17,2015-04-17,2015-10-17,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:214401143,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.85545335085413,,,,,balanced
15-63415,NAME:sdis 44,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:284400017,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,3.6465177398160313,15-126308,0.4063895925017935,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-50024,NAME:vendee eau,NAME_FALLBACK,2015-04-27,2015-06-30,2015-11-30,2026-07-13,35,35261,DIGITAL_ICT,True,5.0,True,SIREN:258500222,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,6.044678055190539,15-159973,0.43958603265586554,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-65940,NAME:pole sante sarthe et loire,NAME_FALLBACK,2015-04-29,2015-04-29,2015-10-29,2026-07-13,72,72611,DIGITAL_ICT,True,6.0,True,NAME:pole sante sarthe et loire,NAME_FALLBACK,LOW,0,134.46123521681997,,,,,balanced
15-65742,NAME:ville du mans,NAME_FALLBACK,2015-04-29,2015-07-20,2015-11-20,2026-07-13,32,32342,DIGITAL_ICT,True,4.0,True,SIREN:217201813,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,4.6320630749014455,15-142353,0.3913092371319065,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-76604,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,2015-05-20,2015-05-20,2015-09-20,2026-07-13,30,30232,DIGITAL_ICT,True,4.0,True,SIREN:247200132,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,133.7713534822602,,,,,balanced
15-76852,NAME:ville de reze,NAME_FALLBACK,2015-05-20,2015-05-20,2015-11-20,2026-07-13,48,48730,DIGITAL_ICT,True,6.0,True,SIREN:214401432,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,5.946123521681997,15-173700,0.40633338440491173,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-81652,NAME:ecole des mines de nantes,NAME_FALLBACK,2015-05-29,2015-05-29,2015-11-29,2026-07-13,,,DIGITAL_ICT,True,6.0,True,NAME:ecole des mines de nantes,NAME_FALLBACK,LOW,1,7.720105124835743,16-7903,0.37920420690866397,POTENTIAL,M0_NAME_FALLBACK,balanced
