source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,gradient_boosting_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
15-192356,16-128161,False,TEXT_MIN,0.0696996763521152,1.0,0.5289962883877168,0.9208445989145936,0.1571488848289535,INITIAL,INITIAL,,,18,15
15-192825,16-146809,True,,0.8373912725929985,1.0,0.7552551451447373,0.8231096859088713,0.7552551451447373,INITIAL,INITIAL,,,27,18
15-44894,15-126736,True,,0.4195899788242906,0.1,0.4293663480418526,0.3849512563753239,0.4293663480418526,INITIAL,INITIAL,,,13,11
15-47696,15-52664,True,,0.8461860645636888,1.0,0.7066228536529195,0.5339830857794784,0.4389228745889888,INITIAL,INITIAL,,,29,27
15-48624,16-49315,False,TEXT_MIN,0.0800239965818713,0.1,0.3611643339766729,0.3203127092101406,0.3611643339766729,INITIAL,INITIAL,,,15,26
15-58213,16-16005,False,TEXT_MIN,0.0736103220314869,0.1,0.2165629994828119,0.2923797429582545,0.2165629994828119,INITIAL,INITIAL,,,23,15
15-58339,15-175690,False,TEXT_MIN,0.2714421172258746,1.0,0.5982373297281363,0.950594913743136,0.0788879626340282,INITIAL,INITIAL,,,10,8
15-58971,16-36754,False,TEXT_MIN,0.1235279158691149,0.1,0.177912825744729,0.3058222607901377,0.177912825744729,INITIAL,INITIAL,,,27,25
15-58989,15-105085,False,TEXT_MIN,0.0360290411772068,1.0,0.4829912419415887,0.92331384765436,0.1811249667257728,INITIAL,INITIAL,,,18,29
15-59370,15-92216,False,TEXT_MIN;INITIAL_CANDIDATE,0.0670171420123232,1.0,0.4609855660643657,0.8579152468712898,0.0172598090061074,INITIAL,RECTIFICATIF,,15-83632,18,26
15-60447,15-126308,True,,0.7435029661301509,1.0,0.777146756498597,0.9524992654834284,0.4430474703119413,INITIAL,INITIAL,,,25,23
15-78916,16-72442,False,TEXT_MIN,0.1447018576641215,0.8,0.3515216904802962,0.6923844795895296,0.0302498263118499,INITIAL,INITIAL,,,15,22
15-79099,16-40003,False,TEXT_MIN,0.0755261864994822,0.2,0.2776518612888354,0.3554816235368517,0.0690062726995839,INITIAL,INITIAL,,,17,16
15-81386,16-42170,True,,0.9315141171740462,1.0,0.7758788240595365,0.923682545209992,0.5312282765777303,INITIAL,INITIAL,,,24,20
15-82604,16-40204,True,,0.5749275243277615,1.0,0.6168531924284264,0.9137952973159518,0.2048843811343954,INITIAL,INITIAL,,,12,13
15-83632,15-92216,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9777097698947343,1.0,0.7195002153457675,0.5310710305469802,0.3920639755627236,INITIAL,RECTIFICATIF,,15-83632,25,26
15-85858,16-40880,False,TEXT_MIN,0.093956375847236,1.0,0.5812881481036942,0.9286118937793226,0.0279612538308151,INITIAL,INITIAL,,,31,22
15-86218,15-95253,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,0.9824713989585664,1.0,0.7677064263415867,0.6707471437298587,0.4551368822876582,INITIAL,RECTIFICATIF,,15-86218,24,25
15-86342,16-63741,False,TEXT_MIN,0.2282287432313073,1.0,0.667979052684615,0.9212533926413246,0.3640634197521137,INITIAL,INITIAL,,,21,10
15-96870,15-174987,False,TEXT_MIN;INITIAL_CANDIDATE,0.0376112904268474,1.0,0.5725178719297295,0.9494292604960308,0.0269964749940465,INITIAL,RECTIFICATIF,,15-165050,18,22
15-98976,15-194034,False,TEXT_MIN;INITIAL_CANDIDATE,0.0431918263272678,1.0,0.6237483262491474,0.4967531053792024,0.3684411473633363,INITIAL,RECTIFICATIF,,15-185335,23,29
16-110202,17-129931,False,TEXT_MIN,0.1246707629615772,0.1,0.2987683631819747,0.3127825554475726,0.2987683631819747,INITIAL,INITIAL,,,19,24
16-111174,17-3293,False,TEXT_MIN,0.0033246497468941,0.1,0.3192626199650704,0.2510815283619472,0.3192626199650704,INITIAL,INITIAL,,,14,14
16-118057,16-118029,True,,0.9999999999999998,1.0,0.7971112571178274,0.7917673775117977,0.7971112571178274,INITIAL,INITIAL,,,16,16
16-119669,17-90968,True,,0.8211773870450615,1.0,0.7523179111337523,0.9090688000943246,0.6073123906867625,INITIAL,INITIAL,,,10,10
16-123498,17-25915,False,TEXT_MIN,0.1872289743296681,1.0,0.6755301410153838,0.9493804312873784,0.2059097676081949,INITIAL,INITIAL,,,17,23
16-124376,17-71849,False,TEXT_MIN,0.1437157458051361,0.8,0.5633425609660947,0.8370763871091704,0.1384741935825379,INITIAL,INITIAL,,,30,13
16-127861,17-44864,True,,0.8797296996844911,1.0,0.7960810409692916,0.9516128175770971,0.4715259199229225,INITIAL,INITIAL,,,12,15
16-129697,17-76396,False,TEXT_MIN,0.0218140103639267,0.1,0.2244417367416976,0.3047862392567179,0.2244417367416976,INITIAL,INITIAL,,,15,22
