source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
16-15282,16-54252,True,,0.914105970764026,1.0,0.7807364765392006,0.2388003634021769,INITIAL,INITIAL,,,23,21
16-153372,17-53291,False,TEXT_MIN,0.0592508914176206,0.1,0.3525249342037888,0.3525249342037888,INITIAL,INITIAL,,,23,24
16-153795,17-94724,True,,0.33832444340487,0.4,0.4909234106450553,0.1433771945015485,INITIAL,INITIAL,,,23,11
16-155186,17-26666,False,TEXT_MIN,0.2479478050219948,1.0,0.6146529538339136,0.0090613701420612,INITIAL,INITIAL,,,12,8
16-155479,17-111330,False,TEXT_MIN,0.2851582799367483,0.0,0.4056989590816727,0.0196426989977291,INITIAL,INITIAL,,,22,23
16-16005,16-106116,False,TEXT_MIN,0.2883348369833616,0.1,0.412172120670852,0.0558161635938754,INITIAL,INITIAL,,,15,12
16-161272,17-15162,True,,1.0000000000000002,0.2,0.5885939553219448,0.1259789067403274,INITIAL,INITIAL,,,12,12
16-166758,17-82963,False,TEXT_MIN,0.2302065842676392,0.4,0.4489757210508353,0.4489757210508353,INITIAL,INITIAL,,,9,10
16-167180,17-61199,True,,0.3878025628224816,1.0,0.6677085579602733,0.2271585494691431,INITIAL,INITIAL,,,8,9
16-170106,17-176560,True,,0.4162740549826223,0.6,0.4755448022925381,0.0782345257107109,INITIAL,INITIAL,,,22,22
16-170680,17-93666,False,TEXT_MIN,0.2778230430136433,0.2,0.4138543594043152,0.0205321944809461,INITIAL,INITIAL,,,11,13
16-172610,17-125205,True,,0.3781336094800062,0.8,0.5659976612593074,0.415273233172834,INITIAL,INITIAL,,,16,20
16-175021,17-140948,True,,0.5330576514205633,0.0,0.4390800334505479,0.0130158302586859,INITIAL,INITIAL,,,20,23
16-175178,18-31687,False,TEXT_MIN,0.1128611494386032,0.1,0.3712885245111327,0.0372965974393826,INITIAL,INITIAL,,,19,21
16-179721,17-67752,False,TEXT_MIN,0.0258830373702665,0.4,0.3966258611523046,0.0594540063986463,INITIAL,INITIAL,,,15,10
16-182034,17-174760,True,,0.6868129781835746,1.0,0.7189784976861959,0.3739985894786402,INITIAL,INITIAL,,,12,24
16-183461,17-155110,True,,0.7585064200614761,0.1,0.5384054117170926,0.3166202554184395,INITIAL,INITIAL,,,17,17
16-184522,17-12394,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,1.0,1.0,0.8409132720105124,0.8409132720105124,INITIAL,RECTIFICATIF,,16-184522,10,10
16-184750,17-68883,True,,0.6812899016760514,1.0,0.7936989469707616,0.0287450722733244,INITIAL,INITIAL,,,4,6
16-27384,16-43654,False,TEXT_MIN,0.0984057934992707,1.0,0.4541770255346439,0.4541770255346439,INITIAL,INITIAL,,,16,9
