source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-159244,20-37940,14,0.2248416760261002,False,0.009635407106011034
15-159244,20-26585,15,0.2191426420198857,False,0.005612513230746149
15-159244,20-12070,16,0.1839222463198226,False,0.003916436851147033
15-159244,20-25276,17,0.1782819136040198,False,0.0034506511652546688
15-159244,20-26328,18,0.1581147461459159,False,0.0032737481710748344
15-159244,20-32203,19,0.1280738829446336,False,0.004332459194474555
15-159244,20-34392,20,0.1241414715530182,False,0.0037639406162786287
15-159244,19-69736,21,0.1194137172914777,False,0.00410220942871811
15-159244,19-74485,22,0.0971924460253018,False,0.004306925556299806
15-159244,20-54283,23,0.0657752867085153,False,0.0060260619686847575
15-159973,20-49879,1,0.2118680727005695,False,0.003239932694167099
15-159973,20-59788,2,0.1749101226348665,False,0.0032922960837762244
15-160513,16-61061,1,0.3472967152209935,True,0.00046645339405788834
15-160513,16-35152,2,0.2935286356719043,False,0.0004924505179059341
15-160513,16-26598,3,0.2765301475909996,False,0.0004629380131030594
15-160513,15-189271,4,0.2015717718288235,False,0.0004965556512782638
15-160513,16-123593,5,0.177431912866825,False,0.0005204985843292561
15-160513,16-125010,6,0.174493467638309,False,0.000509441242918763
15-160513,16-127032,7,0.1645747458343545,False,0.0005548902346018044
15-160513,15-176598,8,0.1488140779604569,False,0.0004969264436490147
15-160539,16-57014,1,0.3840318839968244,True,0.0006083931679111232
15-160539,16-54197,2,0.3720617178084065,False,0.0005565508968575218
15-160539,16-37108,3,0.371613338959777,False,0.0009639091226488812
15-160539,16-54370,4,0.3694826155112803,False,0.0005426098142762817
15-160539,16-63342,5,0.3412555161509454,False,0.0004722275084137245
15-160539,16-33632,6,0.3218219696861872,False,0.0005516330216181493
15-160539,16-49246,7,0.3214636507568463,False,0.0005898689366362903
15-160539,16-31513,8,0.3150962144606618,False,0.0005449298181096551
15-160539,16-71885,9,0.3109267775833872,False,0.0005369701154256639
15-160539,16-73215,10,0.3057796758650898,False,0.002025433849242908
15-160539,16-80903,11,0.2944619125878868,False,0.000572154312600025
15-160539,16-33283,12,0.2835444318278137,False,0.0004761055828620838
15-160539,16-103833,13,0.2668086833836899,False,0.0004820407700597554
15-160539,16-102715,14,0.2430014105655333,False,0.0005581634410254827
15-160539,15-192356,15,0.2073575371548491,False,0.0005307239968435098
15-160539,16-128178,16,0.1730950140535776,False,0.0005248118386070879
15-160539,16-128161,17,0.1649427041418001,False,0.0005127635837101047
15-160539,16-137769,18,0.1546963306586346,False,0.0004897810111699072
15-160539,16-155479,19,0.1541727119057591,False,0.0008855044346238167
15-160539,16-135042,20,0.1507712881471107,False,0.0005239918504119868
15-160539,15-178791,21,0.147257292954777,False,0.0004984214943673415
15-160539,15-175210,22,0.1305039064073319,False,0.0005178509834159663
15-160539,16-153330,23,0.0984593458038041,False,0.0006563268305805712
15-160688,20-8882,1,0.2014787324750726,False,0.0031799673163467232
15-162447,16-49246,1,0.4069505237662212,True,0.0008602811463159095
15-162447,16-80903,2,0.380524070033422,False,0.0010623360381347014
15-162447,16-57014,3,0.3644358413176854,False,0.0004896444519026474
15-162447,16-54197,4,0.3549494943880086,False,0.00047276919412309705
15-162447,16-54370,5,0.354718939280018,False,0.00047244753397129906
15-162447,16-63342,6,0.3247074001832723,False,0.0005732150188580903
15-162447,16-31513,7,0.3175791101161695,False,0.0005225946873894578
15-162447,16-71885,8,0.3038707174742859,False,0.0005406553202916421
15-162447,16-37108,9,0.3030535707321289,False,0.0004616127899807927
15-162447,16-73215,10,0.300769281842891,False,0.0006743554594410275
15-162447,16-33283,11,0.2941016390429992,False,0.0004628949465161627
15-162447,16-33632,12,0.287721389509292,False,0.0005114283368812733
15-162447,16-102715,13,0.2575689843371112,False,0.00046952839774988097
15-162447,16-103833,14,0.2410583244556693,False,0.0004733617483861424
15-162447,15-192356,15,0.1907778168250878,False,0.0004736700207581419
15-162447,16-128161,16,0.1712476996199187,False,0.00048276261307048324
15-162447,16-135042,17,0.167328737928101,False,0.0005115496193183726
15-162447,16-128178,18,0.1662374531245288,False,0.0005275793549673553
15-162447,16-137769,19,0.1578669054076275,False,0.0004958031155399677
15-162447,15-178791,20,0.150473402809795,False,0.0005147764060850623
15-162447,15-175210,21,0.1361447640261217,False,0.0005192194323532484
15-162447,15-160539,22,0.105907211442643,False,0.0005760931797494046
15-162906,16-68875,1,0.3649843036561478,True,0.0005751571139025666
15-162906,16-27767,2,0.2899811335351499,False,0.0004757656948400482
15-164088,19-185562,1,0.3344547700336236,True,0.006154605651842267
15-164088,19-104228,2,0.202491565486292,False,0.003965685889465479
15-164187,19-169855,1,0.4741223577358893,True,0.0024633808025931025
15-164187,19-163024,2,0.3945975027525733,False,0.0006942531320935621
15-164187,19-176592,3,0.3606286326407045,False,0.0006796120100420367
15-164187,20-16671,4,0.2331187034603591,False,0.0028866587395558565
15-164187,20-27358,5,0.2316554638025881,False,0.0006687609030118976
15-165050,19-136955,1,0.8454957718359251,True,0.999999999999
15-165050,19-169306,2,0.3571845080588566,False,0.001153985937974014
15-165050,19-169787,3,0.321709256197271,False,0.0008157222403218361
15-165050,19-176963,4,0.277076214475631,False,0.0009948299603859778
15-165050,20-10269,5,0.1960047576585158,False,0.0032249151224290956
15-165050,19-85688,6,0.1707302032275232,False,0.001334988342459334
15-165050,20-31457,7,0.1369079050639782,False,0.005938821222789698
15-167650,16-30715,1,0.261228465057014,False,0.0005195244904483764
15-167650,16-25827,2,0.2505979187709246,False,0.0005156894516564932
15-169809,19-165120,1,0.3114519640864179,False,0.0032050152742852337
15-169809,20-19986,2,0.1979433454117916,False,0.0032132606579449077
15-169809,19-103545,3,0.1790375433134178,False,0.003686089863936731
15-169809,20-27417,4,0.171774339604598,False,0.0035411887917597825
15-169809,20-50446,5,0.1228195122402413,False,0.003381621038714442
