candidate_notice_id,times_selected,buyer_match_mechanism
18-94561,1,HISTORICAL_ALIAS_RECONCILIATION
16-67782,1,M0_NAME_FALLBACK
18-28408,1,HISTORICAL_ALIAS_RECONCILIATION
24-115034,1,SAME_SIREN_RECONCILIATION
24-106137,1,EXACT_SIRET_RECONCILIATION
24-37419,1,EXACT_SIRET_RECONCILIATION
25-51370,1,EXACT_SIRET_RECONCILIATION
24-76881,1,HISTORICAL_ALIAS_RECONCILIATION
25-42228,1,SAME_SIREN_RECONCILIATION
25-34950,1,SAME_SIREN_RECONCILIATION
25-54937,1,SAME_SIREN_RECONCILIATION
25-5091,1,EXACT_SIRET_RECONCILIATION
25-925,1,EXACT_SIRET_RECONCILIATION
25-53206,1,SAME_SIREN_RECONCILIATION
16-10649,1,HISTORICAL_ALIAS_RECONCILIATION
24-36876,1,EXACT_SIRET_RECONCILIATION
25-20873,1,EXACT_SIRET_RECONCILIATION
25-55152,1,SAME_SIREN_RECONCILIATION
26-48762,1,SAME_SIREN_RECONCILIATION
25-87479,1,SAME_SIREN_RECONCILIATION
18-153394,1,HISTORICAL_ALIAS_RECONCILIATION
26-62132,1,EXACT_SIRET_RECONCILIATION
26-65847,1,EXACT_SIRET_RECONCILIATION
26-62679,1,M0_NAME_FALLBACK
26-63482,1,EXACT_SIRET_RECONCILIATION
25-108260,1,SAME_SIREN_RECONCILIATION
25-97524,1,SAME_SIREN_RECONCILIATION
26-1571,1,EXACT_SIRET_RECONCILIATION
25-49175,1,EXACT_SIRET_RECONCILIATION
26-16633,1,SAME_SIREN_RECONCILIATION
25-49952,1,EXACT_SIRET_RECONCILIATION
25-142895,1,SAME_SIREN_RECONCILIATION
25-130935,1,EXACT_SIRET_RECONCILIATION
26-47097,1,SAME_SIREN_RECONCILIATION
24-72692,1,EXACT_SIRET_RECONCILIATION
16-61061,1,HISTORICAL_ALIAS_RECONCILIATION
26-33573,1,SAME_SIREN_RECONCILIATION
26-52332,1,M0_NAME_FALLBACK
25-76566,1,EXACT_SIRET_RECONCILIATION
26-66594,1,M0_NAME_FALLBACK
19-156899,1,M0_NAME_FALLBACK
25-2044,1,EXACT_SIRET_RECONCILIATION
19-106429,1,M0_NAME_FALLBACK
25-37560,1,EXACT_SIRET_RECONCILIATION
24-140255,1,EXACT_SIRET_RECONCILIATION
24-81519,1,EXACT_SIRET_RECONCILIATION
25-131747,1,SAME_SIREN_RECONCILIATION
22-154906,1,M0_NAME_FALLBACK
23-39978,1,M0_NAME_FALLBACK
16-9312,1,M0_NAME_FALLBACK
16-78789,1,M0_NAME_FALLBACK
24-144326,1,SAME_SIREN_RECONCILIATION
22-17628,1,HISTORICAL_ALIAS_RECONCILIATION
19-151382,1,M0_NAME_FALLBACK
22-79348,1,HISTORICAL_ALIAS_RECONCILIATION
22-171933,1,EXACT_SIRET_RECONCILIATION
25-95477,1,HISTORICAL_ALIAS_RECONCILIATION
25-62715,1,M0_NAME_FALLBACK
21-148591,1,M0_NAME_FALLBACK
24-139192,1,EXACT_SIRET_RECONCILIATION
16-57014,1,M0_NAME_FALLBACK
21-145412,1,M0_NAME_FALLBACK
21-69523,1,HISTORICAL_ALIAS_RECONCILIATION
25-50360,1,SAME_SIREN_RECONCILIATION
25-53540,1,SAME_SIREN_RECONCILIATION
23-38908,1,M0_NAME_FALLBACK
22-113250,1,M0_NAME_FALLBACK
19-46630,1,HISTORICAL_ALIAS_RECONCILIATION
21-129937,1,M0_NAME_FALLBACK
23-75513,1,M0_NAME_FALLBACK
24-74340,1,HISTORICAL_ALIAS_RECONCILIATION
22-54720,1,EXACT_SIRET_RECONCILIATION
22-16811,1,HISTORICAL_ALIAS_RECONCILIATION
24-102164,1,EXACT_SIRET_RECONCILIATION
23-90557,1,HISTORICAL_ALIAS_RECONCILIATION
25-129855,1,HISTORICAL_ALIAS_RECONCILIATION
25-60425,1,HISTORICAL_ALIAS_RECONCILIATION
23-164280,1,M0_NAME_FALLBACK
23-86585,1,HISTORICAL_ALIAS_RECONCILIATION
24-56091,1,SAME_SIREN_RECONCILIATION
24-117855,1,EXACT_SIRET_RECONCILIATION
23-132683,1,M0_NAME_FALLBACK
23-130844,1,HISTORICAL_ALIAS_RECONCILIATION
22-163107,1,HISTORICAL_ALIAS_RECONCILIATION
22-122955,1,HISTORICAL_ALIAS_RECONCILIATION
19-157248,1,M0_NAME_FALLBACK
25-110155,1,SAME_SIREN_RECONCILIATION
19-159320,1,HISTORICAL_ALIAS_RECONCILIATION
24-80097,1,HISTORICAL_ALIAS_RECONCILIATION
22-143552,1,M0_NAME_FALLBACK
26-31969,1,SAME_SIREN_RECONCILIATION
22-157032,1,HISTORICAL_ALIAS_RECONCILIATION
25-143446,1,M0_NAME_FALLBACK
26-20284,1,EXACT_SIRET_RECONCILIATION
16-101519,1,M0_NAME_FALLBACK
24-134460,1,SAME_SIREN_RECONCILIATION
19-177480,1,EXACT_SIRET_RECONCILIATION
25-122865,1,SAME_SIREN_RECONCILIATION
26-29624,1,SAME_SIREN_RECONCILIATION
17-105683,1,EXACT_SIRET_RECONCILIATION
21-117615,1,HISTORICAL_ALIAS_RECONCILIATION
19-34512,1,M0_NAME_FALLBACK
19-129278,1,HISTORICAL_ALIAS_RECONCILIATION
17-77744,1,M0_NAME_FALLBACK
22-40191,1,HISTORICAL_ALIAS_RECONCILIATION
21-51020,1,HISTORICAL_ALIAS_RECONCILIATION
20-118247,1,HISTORICAL_ALIAS_RECONCILIATION
17-146735,1,HISTORICAL_ALIAS_RECONCILIATION
17-120212,1,M0_NAME_FALLBACK
21-37673,1,M0_NAME_FALLBACK
18-13243,1,HISTORICAL_ALIAS_RECONCILIATION
20-66643,1,M0_NAME_FALLBACK
17-9629,1,M0_NAME_FALLBACK
17-144060,1,HISTORICAL_ALIAS_RECONCILIATION
21-44149,1,HISTORICAL_ALIAS_RECONCILIATION
18-144441,1,HISTORICAL_ALIAS_RECONCILIATION
16-128178,1,M0_NAME_FALLBACK
20-26585,1,M0_NAME_FALLBACK
18-82638,1,M0_NAME_FALLBACK
22-105832,1,HISTORICAL_ALIAS_RECONCILIATION
21-150402,1,M0_NAME_FALLBACK
17-55087,1,M0_NAME_FALLBACK
18-41248,1,M0_NAME_FALLBACK
19-39750,1,HISTORICAL_ALIAS_RECONCILIATION
21-45622,1,HISTORICAL_ALIAS_RECONCILIATION
20-117677,1,M0_NAME_FALLBACK
22-137807,1,M0_NAME_FALLBACK
21-163822,1,M0_NAME_FALLBACK
19-32405,1,HISTORICAL_ALIAS_RECONCILIATION
21-14714,1,HISTORICAL_ALIAS_RECONCILIATION
23-72834,1,EXACT_SIRET_RECONCILIATION
20-85492,1,HISTORICAL_ALIAS_RECONCILIATION
21-146075,1,HISTORICAL_ALIAS_RECONCILIATION
17-102568,1,M0_NAME_FALLBACK
22-95027,1,HISTORICAL_ALIAS_RECONCILIATION
21-135182,1,M0_NAME_FALLBACK
17-155110,1,HISTORICAL_ALIAS_RECONCILIATION
21-137487,1,M0_NAME_FALLBACK
20-140005,1,M0_NAME_FALLBACK
17-168569,1,M0_NAME_FALLBACK
21-74412,1,HISTORICAL_ALIAS_RECONCILIATION
21-61224,1,HISTORICAL_ALIAS_RECONCILIATION
17-81541,1,M0_NAME_FALLBACK
22-83864,1,HISTORICAL_ALIAS_RECONCILIATION
21-163566,1,M0_NAME_FALLBACK
21-116891,1,HISTORICAL_ALIAS_RECONCILIATION
21-43310,1,HISTORICAL_ALIAS_RECONCILIATION
18-18447,1,M0_NAME_FALLBACK
21-99709,1,HISTORICAL_ALIAS_RECONCILIATION
21-76925,1,HISTORICAL_ALIAS_RECONCILIATION
17-25692,1,HISTORICAL_ALIAS_RECONCILIATION
21-148535,1,HISTORICAL_ALIAS_RECONCILIATION
17-21818,1,M0_NAME_FALLBACK
17-123168,1,M0_NAME_FALLBACK
21-153479,1,M0_NAME_FALLBACK
20-66280,1,HISTORICAL_ALIAS_RECONCILIATION
19-105444,1,EXACT_SIRET_RECONCILIATION
19-21908,1,M0_NAME_FALLBACK
18-47589,1,HISTORICAL_ALIAS_RECONCILIATION
16-168154,1,HISTORICAL_ALIAS_RECONCILIATION
21-15299,1,HISTORICAL_ALIAS_RECONCILIATION
16-113197,1,HISTORICAL_ALIAS_RECONCILIATION
20-96618,1,HISTORICAL_ALIAS_RECONCILIATION
19-106149,1,HISTORICAL_ALIAS_RECONCILIATION
21-103501,1,HISTORICAL_ALIAS_RECONCILIATION
20-65717,1,M0_NAME_FALLBACK
20-106379,1,HISTORICAL_ALIAS_RECONCILIATION
16-108742,1,HISTORICAL_ALIAS_RECONCILIATION
