nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
Grand Port Maritime de Bordeaux,marches.bordeaux-port.fr,,2020-03-29,1,11746,Grand Port Maritime de Bordeaux,grand port maritime de bordeaux,2020-03-29,True,marches.bordeaux-port.fr,marches.bordeaux-port.fr,bordeaux-port.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Bordeaux,marches-bordeaux.fr,,2019-10-11,0,11747,Grand Port Maritime de Bordeaux,grand port maritime de bordeaux,2019-10-11,False,marches-bordeaux.fr,marches-bordeaux.fr,marches-bordeaux.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Bordeaux,www.marches.bordeaux-port.fr,,2017-08-12,0,11748,Grand Port Maritime de Bordeaux,grand port maritime de bordeaux,2017-08-12,False,www.marches.bordeaux-port.fr,marches.bordeaux-port.fr,bordeaux-port.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Bordeaux,marches.bordeaux-port.fr.,,2017-03-18,0,11749,Grand Port Maritime de Bordeaux,grand port maritime de bordeaux,2017-03-18,False,marches.bordeaux-port.fr.,marches.bordeaux-port.fr,bordeaux-port.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Dunkerque,www.achatpublic.com,,2020-12-06,1,11750,Grand Port Maritime de Dunkerque,grand port maritime de dunkerque,2020-12-06,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Dunkerque,www.dunkerque-port.fr,www.dunkerque-port.fr,2017-12-28,0,11751,Grand Port Maritime de Dunkerque,grand port maritime de dunkerque,2017-12-28,False,www.dunkerque-port.fr,dunkerque-port.fr,dunkerque-port.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,www.dunkerque-port.fr,dunkerque-port.fr,dunkerque-port.fr,,True,False,False,OK_WITH_WARNING,missing_protocol
Grand Port Maritime de La Réunion,www.marches-publics.info,,2020-12-08,1,11752,Grand Port Maritime de La Réunion,grand port maritime de la reunion,2020-12-08,True,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de La Réunion,www.marches-publics.gouv.fr,,2018-08-26,0,11753,Grand Port Maritime de La Réunion,grand port maritime de la reunion,2018-08-26,False,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Marseille,www.marches-publics.gouv.fr,,2020-08-15,1,11754,Grand Port Maritime de Marseille,grand port maritime de marseille,2020-08-15,True,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Marseille,"23,placedelajoliette,CS81965",,2018-09-05,0,11755,Grand Port Maritime de Marseille,grand port maritime de marseille,2018-09-05,False,"23,placedelajoliette,CS81965","23,placedelajoliette,cs81965",,,False,False,False,MALFORMED,missing_protocol;invalid_domain,,,,,False,False,False,MISSING,empty
Grand Port Maritime de Marseille,www.marches-public.gouv.fr,,2018-03-02,0,11756,Grand Port Maritime de Marseille,grand port maritime de marseille,2018-03-02,False,www.marches-public.gouv.fr,marches-public.gouv.fr,marches-public.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
