source_notice_id,publication_date,publication_year,cpv_division,buyer_key,buyer_key_type,buyer_key_provenance,duration_months,duration_imputation_status,estimated_end_date,observable_followup_months,buyer_publication_frequency,later_same_buyer_notice_count,later_same_buyer_in_m0_window_count,m0_candidate_count,m0_best_candidate_notice_id,m0_best_score,m0_second_best_score,m0_score_margin,m0_accepted,m0_selected_candidate_notice_id,m0_selected_candidate_reuse_count,m1_candidate_count,m1_accepted,m1_selected_candidate_notice_id,m1_selected_candidate_reuse_count,m1_buyer_match_mechanism,profile_audited_link_present,profile_evidence_status,primary_linkage_status_reason,secondary_diagnostic_flags
16-168154,2016-11-21,2016,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2020-11-21,115.67017082785807,61,45,3,3,20-85492,0.1460736789835527,0.1382046661184288,0.0078690128651238,False,,0,3,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
16-178183,2016-12-15,2016,80,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,12.0,imputed,2017-12-15,114.88173455978975,61,44,12,12,18-546,0.3229158584449417,0.3124652060002716,0.01045065244467,False,,0,12,True,18-546,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin;m1_only_link
17-20859,2017-02-12,2017,42,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,8.0,imputed,2017-10-22,112.94349540078844,61,43,12,12,17-144060,0.3277583900225774,0.290370533072635,0.0373878569499424,True,17-144060,1,12,True,17-144060,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1
17-23552,2017-03-03,2017,48,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-03-03,112.31931668856767,61,42,2,2,21-74412,0.1881485108619895,0.175669196418239,0.0124793144437504,False,,0,2,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
17-30623,2017-03-05,2017,42,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,8.0,imputed,2018-03-19,112.25361366622865,61,41,13,13,18-40625,0.3065910984727915,0.2894678055190539,0.0171232929537376,False,,0,13,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
17-77672,2017-06-02,2017,48,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-06-02,109.32982917214191,61,40,2,2,21-74412,0.3193021711588152,0.299562142192141,0.0197400289666742,False,,0,2,True,21-74412,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin;m1_only_link
17-99753,2017-07-12,2017,32,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2020-07-12,108.01576872536137,61,39,6,6,20-85492,0.357524579527355,0.2911830557147346,0.0663415238126204,True,20-85492,1,6,True,20-85492,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1
17-139193,2017-10-04,2017,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-10-04,105.2562417871222,61,38,5,5,21-83160,0.4907936961730068,0.4273891743980234,0.0634045217749834,True,21-83160,2,5,True,21-83160,2,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1;selected_candidate_reused
17-144060,2017-10-12,2017,,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2018-04-12,104.99342969776609,61,37,11,11,18-40625,0.3146658466799752,0.3120113893651095,0.0026544573148657,False,,0,11,True,18-40625,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin;m1_only_link
17-159853,2017-11-13,2017,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-11-13,103.94218134034165,61,36,5,5,21-83160,0.4461775037534541,0.409929163303789,0.0362483404496651,True,21-83160,2,8,True,21-83160,2,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1;selected_candidate_reused
