profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
107,profile,AGENCE DE LA BIOMEDECINE,agence de la biomedecine,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-02-28,True
108,profile,AGENCE DE SERVICES AUX COLLECTIVITES,agence de services aux collectivites,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-04-19,True
109,profile,AGENCE DES PARTICIPATIONS DE L ETAT,agence des participations de l etat,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-11-11,True
110,profile,AGENCE DEVELOPPEMENT INNOVATION N-A,agence developpement innovation n-a,demat-ampa.fr,demat-ampa.fr,demat-ampa.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-11-20,True
111,profile,AGENCE ERASMUS+ FRANCE,agence erasmus france,e-marchespublics.fr,e-marchespublics.fr,e-marchespublics.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-10-15,True
112,profile,AGENCE NATIONALE CHEQUES VACANCES,agence nationale cheques vacances,www.ancv.e-marchespublics.com,ancv.e-marchespublics.com,e-marchespublics.com,ancv,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-31,True
113,profile,AGENCE REGIONALE DE SANTE GRAND EST,agence regionale de sante grand est,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-10-25,True
114,profile,AGENCE REGIONALE POUR L ENVIRONNEMENT,agence regionale pour l environnement,agysoft.marches-publics.info,agysoft.marches-publics.info,marches-publics.info,agysoft,True,False,False,OK_WITH_WARNING,missing_protocol,2019-11-13,True
115,profile,AGENCE TECHNIQUE DÉPARTEMENTALE AUDE,agence technique departementale aude,www.marchespublics.aude.fr,marchespublics.aude.fr,aude.fr,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,2019-09-25,True
116,profile,AGEPS,ageps,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2016-10-03,True
117,profile,AGFA Avignon,agfa avignon,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-12-18,True
118,profile,AGGLOBUS,agglobus,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-06-17,True
119,profile,AGGLOMERATION CREIL SUD OISE,agglomeration creil sud oise,marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-11-05,True
120,profile,AGGLOMERATION CREIL SUD OISE,agglomeration creil sud oise,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-07-04,False
121,profile,AGGLOMERATION D AGEN,agglomeration d agen,www.agglo-agen.net,agglo-agen.net,agglo-agen.net,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-12-14,True
