source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-56776,18-27688,2015-04-15,2018-02-27,NAME:ville d angers,NAME_FALLBACK,34.46123521681997,2018-04-15,1.5440210249671484,0.7426631625054753,0.7059445296288916,0.0,0.6,0.4927463759964809,False,False,1,2,0.2028491080563093,window_6m,0.3230216936565234
15-58339,19-103125,2015-04-17,2019-07-04,NAME:cnieg,NAME_FALLBACK,50.55847568988173,2019-08-06,1.0840998685939554,0.8193166885676741,0.0,0.2,0.6,0.32482917214191853,False,False,1,3,0.15909966873178338,window_6m,0.3230216936565234
15-60447,15-126308,2015-04-20,2015-08-13,NAME:sdis 44,NAME_FALLBACK,3.7779237844940865,2015-10-20,2.2339027595269383,0.6276828734121769,0.742281450344641,1.0,0.6,0.7767192259736686,False,False,1,3,0.44289739891721525,window_6m,0.3230216936565234
15-63415,15-126308,2015-04-24,2015-08-13,NAME:sdis 44,NAME_FALLBACK,3.6465177398160313,2015-10-24,2.3653088042049935,0.6057818659658345,0.42866164379307625,0.1,0.6,0.3914770418190353,True,False,1,2,0.04800499927926599,window_6m,0.3230216936565234
15-64142,19-59985,2015-04-24,2019-04-17,NAME:chu de nantes,NAME_FALLBACK,47.76609724047306,2019-04-24,0.22996057818659657,0.9616732369689006,0.4056515575126466,0.2,0.6,0.5023963543716514,False,False,1,3,0.24761730347481092,window_6m,0.3230216936565234
15-69497,19-85688,2015-05-06,2019-06-05,NAME:angers loire metropole,NAME_FALLBACK,48.98160315374507,2019-05-06,0.9855453350854139,0.835742444152431,0.0637836338216469,0.4,0.6,0.41125988287568416,False,False,1,8,0.04641028066533548,window_6m,0.3230216936565234
15-71156,20-47300,2015-05-07,2020-04-02,SIRET:19490970100303,RAW_SIRET,58.86990801576872,2019-10-20,5.4204993429697765,0.09658344283837061,0.7081800606826032,1.0,1.0,0.6720088819485037,False,False,1,1,0.6720088819485037,window_6m,0.3230216936565234
15-71764,16-136139,2015-05-11,2016-09-19,NAME:conseil regional des pays de la loire,NAME_FALLBACK,16.327201051248355,2016-10-28,1.281208935611038,0.7864651773981604,0.4234277207133438,0.0,0.6,0.40481599659921036,False,False,1,12,0.051148210845488706,window_6m,0.3230216936565234
15-75102,18-128642,2015-05-18,2018-09-14,NAME:sdis 85,NAME_FALLBACK,39.91458607095926,2018-09-10,0.1314060446780552,0.9780989925536575,0.24147295549345044,0.0,0.6,0.38904028256112205,False,False,1,1,0.38904028256112205,window_6m,0.3230216936565234
15-75567,19-105083,2015-05-19,2019-07-10,NAME:nantes metropole,NAME_FALLBACK,49.70433639947437,2019-05-19,1.7082785808147174,0.7152869031975471,0.7708850521667896,1.0,0.6,0.808631494057763,False,True,1,18,0.20122209479299702,window_6m,0.3230216936565234
15-81386,19-87510,2015-05-28,2019-06-06,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,48.29172141918528,2019-05-28,0.2956636005256242,0.9507227332457293,0.036545158467964176,0.2,0.6,0.3704714887752198,False,False,1,3,0.11512216981273932,window_6m,0.3230216936565234
15-81652,16-7903,2015-05-29,2016-01-19,NAME:ecole des mines de nantes,NAME_FALLBACK,7.720105124835742,2015-11-29,1.6754270696452036,0.7207621550591328,0.3107744413984599,0.1,0.6,0.3789615932542441,True,False,1,4,0.010276167872933006,window_6m,0.3230216936565234
15-82604,19-46630,2015-06-01,2019-03-25,NAME:ch le mans,NAME_FALLBACK,45.762155059132716,2019-06-01,2.2339027595269383,0.6276828734121769,0.04002925564978671,0.4,0.6,0.35093095783046957,False,False,1,9,0.07672493067066344,window_6m,0.3230216936565234
15-84820,19-189603,2015-06-04,2019-12-22,NAME:nantes metropole,NAME_FALLBACK,54.59921156373193,2019-12-14,0.2628120893561104,0.9561979851073149,0.22732352687102939,0.0,0.6,0.378612730681689,False,False,1,22,0.04120802506523419,window_6m,0.3230216936565234
15-84881,19-189603,2015-06-04,2019-12-22,NAME:nantes metropole,NAME_FALLBACK,54.59921156373193,2019-12-14,0.2628120893561104,0.9561979851073149,0.2339453312673685,0.0,0.6,0.3809303622204077,False,False,1,22,0.0430007045703647,window_6m,0.3230216936565234
15-86193,15-190662,2015-06-05,2015-12-22,NAME:ville de nantes,NAME_FALLBACK,6.570302233902759,2015-12-05,0.5584756898817346,0.9069207183530442,0.05059020787764441,0.1,0.6,0.33443675234543657,True,False,1,8,0.034389176081468964,window_6m,0.3230216936565234
15-86342,16-63741,2015-06-05,2016-05-05,NAME:conseil general de loire-atlantique,NAME_FALLBACK,11.005256241787121,2016-06-21,1.5440210249671484,0.7426631625054753,0.22617571440673212,1.0,0.6,0.6248272906687251,False,False,1,10,0.363403356398431,window_6m,0.3230216936565234
15-89263,19-75795,2015-06-12,2019-05-15,NAME:vendee eau,NAME_FALLBACK,47.07621550591327,2019-07-23,2.266754270696452,0.6222076215505914,0.18730787989077852,0.4,0.6,0.40110966334942033,False,False,1,1,0.40110966334942033,window_6m,0.3230216936565234
15-89902,15-192356,2015-06-11,2015-12-24,NAME:nantes metropole,NAME_FALLBACK,6.438896189224704,2015-12-11,0.42706964520367935,0.9288217257993868,0.16042453597508274,0.1,0.6,0.37835401904112564,True,False,1,19,0.03544024361297554,window_6m,0.3230216936565234
15-92588,19-147943,2015-06-17,2019-10-02,SIRET:23440003400026,RAW_SIRET,51.51116951379763,2019-10-21,0.6241787122207622,0.8959702146298729,0.010943626467498389,0.2,1.0,0.3878228229210927,False,False,1,9,0.05316865403114235,window_6m,0.3230216936565234
15-95813,19-185562,2015-06-23,2019-12-12,NAME:commune de saint-herblain,NAME_FALLBACK,53.64651773981603,2019-10-26,1.5440210249671484,0.7426631625054753,0.29641266221405504,0.0,0.6,0.3494102224012881,False,False,1,2,0.13448378549013631,window_6m,0.3230216936565234
15-96106,20-4011,2015-06-24,2020-01-12,NAME:cnieg,NAME_FALLBACK,54.632063074901446,2019-08-07,5.19053876478318,0.13491020586947,0.1450564521793789,1.0,0.6,0.4444973097301501,False,False,1,3,0.10913899278735345,window_6m,0.3230216936565234
15-96870,19-136955,2015-06-25,2019-09-10,NAME:angers loire metropole,NAME_FALLBACK,50.52562417871222,2019-06-25,2.5295663600525624,0.5784056066579062,0.0,1.0,0.6,0.5046014016644765,False,False,1,9,0.15939317281397292,window_6m,0.3230216936565234
15-97256,15-190662,2015-06-25,2015-12-22,NAME:ville de nantes,NAME_FALLBACK,5.913272010512483,2015-12-25,0.09855453350854139,0.9835742444152431,0.02190328740661897,0.1,0.6,0.3435597116961274,True,False,1,7,0.012687737142143385,window_6m,0.3230216936565234
15-98729,15-170834,2015-06-26,2015-11-12,NAME:spr pays de la loire,NAME_FALLBACK,4.566360052562418,2015-12-26,1.445466491458607,0.7590889180902322,0.5071934548130068,0.1,0.6,0.4572899387071104,True,False,1,4,0.17383924660534383,window_6m,0.3230216936565234
16-102715,19-69736,2016-07-11,2019-05-05,NAME:nantes metropole,NAME_FALLBACK,33.77135348226018,2019-07-11,2.2010512483574245,0.6331581252737626,0.2931357972167832,1.0,0.6,0.6208870603443148,False,False,1,17,0.3060354646725343,window_6m,0.3230216936565234
16-103833,20-49949,2016-07-13,2020-04-30,NAME:nantes metropole,NAME_FALLBACK,45.565045992115635,2020-07-13,2.431011826544021,0.5948313622426631,0.44587022103636964,0.4,0.6,0.48476241792339514,False,False,1,22,0.11509319249874517,window_6m,0.3230216936565234
16-106116,16-165866,2016-07-13,2016-11-16,NAME:ville d orvault,NAME_FALLBACK,4.139290407358739,2017-01-13,1.9053876478318001,0.6824353920280333,0.7525816368728678,0.1,0.6,0.524012420912512,True,False,1,8,0.08162719187815631,window_6m,0.3230216936565234
16-106204,20-35694,2016-07-15,2020-03-09,NAME:universite de nantes,NAME_FALLBACK,43.79106438896189,2019-12-25,2.463863337713535,0.5893561103810776,0.27334625977152893,0.1,0.6,0.3330102185153045,True,False,1,3,0.009423094373008978,window_6m,0.3230216936565234
16-10778,20-97584,2016-01-22,2020-07-31,NAME:gie sesam vitale,NAME_FALLBACK,54.270696452036795,2020-11-09,3.3180026281208934,0.44699956197985113,0.3086336928625344,0.2,0.6,0.33977168299684984,False,False,1,4,0.13165628129518378,window_6m,0.3230216936565234
16-108742,17-20203,2016-07-20,2017-02-10,NAME:cap atlantique,NAME_FALLBACK,6.734559789750328,2017-01-20,0.6898817345597897,0.8850197109067017,0.03366357873132067,0.1,0.6,0.32303718028263767,True,False,1,2,0.11344744958256098,window_6m,0.3230216936565234
16-109275,17-46886,2016-07-22,2017-04-06,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,8.47568988173456,2017-01-22,2.431011826544021,0.5948313622426631,0.6704804032736493,0.1,0.6,0.473375981706443,True,False,1,3,0.09669339880196198,window_6m,0.3230216936565234
16-123593,19-130357,2016-08-22,2019-08-27,NAME:departement de la sarthe,NAME_FALLBACK,36.136662286465175,2019-08-22,0.164257555847569,0.9726237406920718,0.0,0.1,0.6,0.33315593517301795,True,False,1,11,0.06263715401578973,window_6m,0.3230216936565234
16-124376,21-35651,2016-08-23,2021-03-19,NAME:conseil regional des pays de la loire,NAME_FALLBACK,54.82917214191853,2020-12-20,2.923784494086728,0.5127025843188786,0.27449947379575074,0.4,0.6,0.4042504619082324,False,False,1,7,0.02033869045158826,window_6m,0.3230216936565234
16-12477,19-87510,2016-01-27,2019-06-06,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,40.27595269382392,2019-06-09,0.09855453350854139,0.9835742444152431,0.13884487728851763,0.0,0.6,0.3544892681547919,False,False,1,3,0.11440980004778409,window_6m,0.3230216936565234
16-125010,20-93634,2016-08-25,2020-07-22,NAME:departement de la sarthe,NAME_FALLBACK,46.87910643889619,2020-08-25,1.1169513797634691,0.8138414367060884,0.019362911630426957,0.2,0.6,0.33023737824717153,False,False,1,1,0.33023737824717153,window_6m,0.3230216936565234
16-128161,21-7561,2016-09-09,2021-01-18,NAME:nantes metropole,NAME_FALLBACK,52.299605781865964,2020-09-09,4.303547963206308,0.28274200613228206,0.7318807754060992,1.0,0.6,0.6868437729252053,False,False,1,17,0.1694240254075805,window_6m,0.3230216936565234
16-128870,21-26465,2016-09-05,2021-02-27,NAME:chu de nantes,NAME_FALLBACK,53.745072273324574,2021-02-02,0.8212877792378449,0.8631187034603591,0.21255552535717426,1.0,0.6,0.6501741097401008,False,False,1,9,0.12664610639019003,window_6m,0.3230216936565234
16-130215,20-155309,2016-09-08,2020-12-20,SIRET:22850001300658,RAW_SIRET,51.379763469119574,2021-03-04,2.431011826544021,0.5948313622426631,0.6544952866829984,1.0,1.0,0.7777811908997152,False,False,1,3,0.07102336794552477,window_6m,0.3230216936565234
16-131495,20-137315,2016-09-08,2020-11-11,NAME:sdis 85,NAME_FALLBACK,50.09855453350854,2021-01-02,1.7082785808147174,0.7152869031975471,0.3214541376085737,0.0,0.6,0.35133067396238754,False,False,1,2,0.15496752067499195,window_6m,0.3230216936565234
