source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,score_forward_no_duration,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
17-6714,17-62873,2017-01-18,2017-05-07,SIRET:19490970100303,RAW_SIRET,3.5808147174770038,,,,1.0,1.0,1.0,1.0,False,False,1.0,1,7,0.0,forward_24m_no_duration,0.24520429054294895
17-68186,17-120212,2017-05-18,2017-08-25,NAME:conseil regional des pays de la loire,NAME_FALLBACK,3.252299605781866,,,,0.02597776394384032,1.0,0.6,0.4921229565071255,False,True,0.4921229565071255,1,24,0.21936930570545504,forward_24m_no_duration,0.24520429054294895
17-71407,19-59985,2017-05-24,2019-04-17,NAME:chu de nantes,NAME_FALLBACK,22.766097240473062,,,,0.1849382109932918,0.2,0.6,0.24630449846353622,False,True,0.24630449846353622,1,11,0.03286730840779492,forward_24m_no_duration,0.24520429054294895
17-7154,18-38970,2017-01-16,2018-03-21,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,14.09329829172142,,,,0.3075171057773064,0.1,0.6,0.26350798269607634,True,False,0.26350798269607634,1,13,0.01854537616581775,forward_24m_no_duration,0.24520429054294895
17-73511,17-81541,2017-05-24,2017-06-12,NAME:voies navigables de france,NAME_FALLBACK,0.6241787122207622,,,,1.0000000000000002,0.1,0.6,0.5866666666666669,True,False,0.5866666666666669,1,1,0.5866666666666669,forward_24m_no_duration,0.24520429054294895
17-73536,17-143241,2017-05-26,2017-10-15,NAME:nantes metropole,NAME_FALLBACK,4.664914586070959,,,,0.3012538172486634,1.0,0.6,0.620585114716043,False,True,0.620585114716043,1,30,0.024625694060615544,forward_24m_no_duration,0.24520429054294895
17-74587,18-21245,2017-05-29,2018-02-14,NAME:departement de la sarthe,NAME_FALLBACK,8.5742444152431,,,,0.1383857640040135,0.8,0.6,0.464580023201873,False,False,0.464580023201873,1,16,0.03377393145819085,forward_24m_no_duration,0.24520429054294895
17-76616,17-106009,2017-06-03,2017-07-26,NAME:nantes metropole,NAME_FALLBACK,1.7411300919842312,,,,0.9999999999999997,1.0,0.6,0.9466666666666665,False,False,0.9466666666666665,1,30,0.36509050265257104,forward_24m_no_duration,0.24520429054294895
17-79002,18-79743,2017-06-07,2018-06-11,NAME:lycee polyvalent leonard de vinci,NAME_FALLBACK,12.12220762155059,,,,0.8965456365084002,1.0,0.6,0.8983879637039203,False,False,0.8983879637039203,1,1,0.8983879637039203,forward_24m_no_duration,0.24520429054294895
17-80194,17-104238,2017-06-08,2017-07-20,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,1.3797634691195795,,,,0.017502571226381748,0.6,0.6,0.32816786657231145,False,False,0.32816786657231145,1,21,0.002546057295014892,forward_24m_no_duration,0.24520429054294895
17-8037,17-25692,2017-01-17,2017-02-22,NAME:departement de la sarthe,NAME_FALLBACK,1.1826544021024967,,,,1.0000000000000002,0.1,0.6,0.5866666666666669,True,False,0.5866666666666669,1,16,0.43271271907700887,forward_24m_no_duration,0.24520429054294895
17-80512,18-117157,2017-06-09,2018-08-20,NAME:ch le mans,NAME_FALLBACK,14.35611038107753,,,,0.03274105817222474,0.6,0.6,0.33527916048037154,False,False,0.33527916048037154,1,10,0.16603237076463168,forward_24m_no_duration,0.24520429054294895
17-82173,17-82869,2017-06-13,2017-06-14,NAME:ville de sable sur sarthe,NAME_FALLBACK,0.0328515111695138,,,,1.0,0.1,0.6,0.5866666666666667,True,False,0.5866666666666667,1,4,0.0,forward_24m_no_duration,0.24520429054294895
17-82869,17-118982,2017-06-14,2017-08-23,NAME:ville de sable sur sarthe,NAME_FALLBACK,2.299605781865966,,,,1.0,0.1,0.6,0.5866666666666667,True,False,0.5866666666666667,1,3,0.07046546277502697,forward_24m_no_duration,0.24520429054294895
